","♠7♦7♦3♦J♦10 | Pair
","♠7♦7♦3♦J♥4 | Pair
","♠7♦7♦3♦J♣5 | Pair
","♠Q♣3♦Q♣5♣J | Pair
","♠Q♣3♦Q♥4♣J | Pair
","♦7♣7♠Q♠2♦10 | Pair
","♦7♣7♠Q♠2♥4 | Pair
","♦7♣7♠Q♠2♣5 | Pair
","♦7♣7♠Q♠2♣J | Pair
","♦7♣7♠Q♦10♥4 | Pair
","♦7♣7♠Q♦10♣5 | Pair
","♦7♣7♠Q♦10♣J | Pair
","♦7♣7♠Q♥4♣5 | Pair
","♦7♣7♠Q♥4♣J | Pair
","♦7♣7♠Q♣5♣J | Pair
","♦7♣7♣3♦Q♠2 | Pair
","♦7♣7♣3♦Q♦10 | Pair
","♦7♣7♣3♦Q♥4 | Pair
","♦7♣7♣3♦Q♣5 | Pair
","♦7♣7♣3♦Q♣J | Pair
","♦7♣7♣3♠2♦10 | Pair
","♦7♣7♣3♠2♥4 | Pair
","♦7♣7♣3♠2♣5 | Pair
","♦7♣7♣3♠2♣J | Pair
","♦7♣7♣3♦10♥4 | Pair
","♦7♣7♣3♦10♣5 | Pair
","♦7♣7♣3♦10♣J | Pair
","♦7♣7♣3♥4♣5 | Pair
","♦7♣7♣3♥4♣J | Pair
","♦7♣7♣3♣5♣J | Pair
","♦7♣7♦Q♠2♦10 | Pair
","♦7♣7♦Q♠2♥4 | Pair
","♦7♣7♦Q♠2♣5 | Pair
","♦7♣7♦Q♠2♣J | Pair
","♦7♣7♦Q♦10♥4 | Pair
","♦7♣7♦Q♦10♣5 | Pair
","♦7♣7♦Q♦10♣J | Pair
","♦7♣7♦Q♥4♣5 | Pair
","♦7♣7♦Q♥4♣J | Pair
","♦7♣7♦Q♣5♣J | Pair
","♦7♣7♠2♦10♥4 | Pair
","♦7♣7♠2♦10♣5 | Pair
","♦7♣7♠2♦10♣J | Pair
","♦7♣7♠2♥4♣5 | Pair
","♦7♣7♠2♥4♣J | Pair
","♦7♣7♠2♣5♣J | Pair
","♦7♣7♦10♥4♣5 | Pair
","♦7♣7♦10♥4♣J | Pair
","♦7♣7♦10♣5♣J | Pair
","♦7♣7♥4♣5♣J | Pair
","♦7♦J♠Q♣3♦Q | Pair
","♦7♦3♦J♠Q♣3 | Pair
","♦7♦3♣7♣5♣J | Pair
","♦7♦3♣7♥4♣J | Pair
","♦7♦3♣7♥4♣5 | Pair
","♦7♦J♠Q♣3♣J | Pair
","♦7♦J♠Q♦Q♠2 | Pair
","♦7♦J♠Q♦Q♦10 | Pair
","♦7♦J♠Q♦Q♥4 | Pair
","♦7♦J♠Q♦Q♣5 | Pair
","♠Q♣3♦Q♥4♣5 | Pair
","♦7♦3♣7♦10♣J | Pair
","♦7♦3♣7♦10♣5 | Pair
","♦7♦3♣7♦10♥4 | Pair
","♦7♦J♠Q♠2♣J | Pair
","♦7♦3♣7♠2♣J | Pair
","♦7♦3♣7♠2♣5 | Pair
","♦7♦J♠Q♦10♣J | Pair
","♦7♦3♣7♠2♥4 | Pair
","♦7♦J♠Q♥4♣J | Pair
","♦7♦J♠Q♣5♣J | Pair
","♦7♦3♣7♠2♦10 | Pair
","♦7♦3♣7♦Q♣J | Pair
","♦7♦3♣7♦Q♣5 | Pair
","♦7♦3♣7♦Q♥4 | Pair
","♦7♦J♣3♦Q♣J | Pair
","♦7♦3♣7♦Q♦10 | Pair
","♦7♦3♣7♦Q♠2 | Pair
","♠Q♣3♦Q♦10♣J | Pair
","♦7♦J♣3♠2♣J | Pair
","♠Q♣3♦Q♦10♣5 | Pair
","♠Q♣3♦Q♦10♥4 | Pair
","♦7♦J♣3♦10♣J | Pair
","♠Q♣3♦Q♠2♣J | Pair
","♦7♦J♣3♥4♣J | Pair
","♦7♦J♣3♣5♣J | Pair
","♠Q♣3♦Q♠2♣5 | Pair
","♠Q♣3♦Q♠2♥4 | Pair
","♦7♦3♣7♠Q♣J | Pair
","♦7♦J♦Q♠2♣J | Pair
","♦7♦3♣7♠Q♣5 | Pair
","♦7♦3♣7♠Q♥4 | Pair
","♦7♦J♦Q♦10♣J | Pair
","♦7♦3♣7♠Q♦10 | Pair
","♦7♦J♦Q♥4♣J | Pair
","♦7♦J♦Q♣5♣J | Pair
","♦7♦3♣7♠Q♠2 | Pair
","♠Q♣3♦Q♠2♦10 | Pair
","♦7♦J♠2♦10♣J | Pair
","♦J♦10♥4♣5♣J | Pair
","♦7♦J♠2♥4♣J | Pair
","♦7♦J♠2♣5♣J | Pair
","♦J♠2♥4♣5♣J | Pair
","♦7♦J♦10♥4♣J | Pair
","♦7♦J♦10♣5♣J | Pair
","♦7♦J♥4♣5♣J | Pair
","♦7♠Q♣3♦Q♠2 | Pair
","♦7♠Q♣3♦Q♦10 | Pair
","♦7♠Q♣3♦Q♥4 | Pair
","♦7♠Q♣3♦Q♣5 | Pair
","♦7♠Q♣3♦Q♣J | Pair
","♦7♦3♣7♦J♣5 | Pair
","♦7♦3♣7♦J♥4 | Pair
","♦7♦3♣7♦J♦10 | Pair
","♦7♦3♣7♦J♠2 | Pair
","♦7♦3♣7♦J♦Q | Pair
","♦J♠2♦10♣5♣J | Pair
","♦7♦3♣7♦J♠Q | Pair
","♦7♦3♣2♠2♣J | Pair
","♦7♦3♣2♠2♣5 | Pair
","♦7♦3♣2♠2♥4 | Pair
","♦7♠Q♦Q♠2♦10 | Pair
","♦7♠Q♦Q♠2♥4 | Pair
","♦7♠Q♦Q♠2♣5 | Pair
","♦7♠Q♦Q♠2♣J | Pair
","♦7♠Q♦Q♦10♥4 | Pair
","♦7♠Q♦Q♦10♣5 | Pair
","♦7♠Q♦Q♦10♣J | Pair
","♦7♠Q♦Q♥4♣5 | Pair
","♦7♠Q♦Q♥4♣J | Pair
","♦7♠Q♦Q♣5♣J | Pair
","♦7♦3♣2♠2♦10 | Pair
","♦7♦3♣2♦Q♠2 | Pair
","♦7♦3♣2♣3♣J | Pair
","♦7♦3♣2♣3♣5 | Pair
","♦7♦3♣2♣3♥4 | Pair
","♦7♦3♣2♣3♦10 | Pair
","♦J♠2♦10♥4♣J | Pair
","♦7♦3♣2♣3♦Q | Pair
","♦7♦3♣2♠Q♠2 | Pair
","♦7♦3♣2♠Q♦Q | Pair
","♦7♦3♣2♠Q♣3 | Pair
","♦7♦3♣2♦J♣J | Pair
","♦7♦3♣2♦J♠2 | Pair
","♦7♦3♣2♦J♣3 | Pair
","♦7♦3♣2♣7♣J | Pair
","♦7♦3♣2♣7♣5 | Pair
","♦7♦3♣2♣7♥4 | Pair
","♦7♦3♣2♣7♦10 | Pair
","♦J♦Q♥4♣5♣J | Pair
","♦7♦3♣2♣7♦Q | Pair
","♦J♦Q♦10♣5♣J | Pair
","♦7♦3♣2♣7♠Q | Pair
","♦7♦3♣2♣7♦J | Pair
","♦7♦3♥8♣3♣J | Pair
","♦7♦3♥8♣3♣5 | Pair
","♦7♦3♥8♣3♥4 | Pair
","♦7♦3♥8♣3♦10 | Pair
","♦7♦3♥8♣3♠2 | Pair
","♦7♦3♥8♣3♦Q | Pair
","♦7♦3♥8♠Q♦Q | Pair
","♦7♦3♥8♠Q♣3 | Pair
","♦7♦3♥8♦J♣J | Pair
","♦7♦3♥8♦J♣3 | Pair
","♦7♦3♥8♣7♣J | Pair
","♦7♦3♥8♣7♣5 | Pair
","♦7♦3♥8♣7♥4 | Pair
","♦7♦3♥8♣7♦10 | Pair
","♦7♦3♥8♣7♠2 | Pair
","♦7♦3♥8♣7♦Q | Pair
","♦J♦Q♦10♥4♣J | Pair
","♦7♦3♥8♣7♠Q | Pair
","♦7♦3♥8♣7♦J | Pair
","♦7♦3♥8♣2♠2 | Pair
","♦7♦3♥8♣2♣3 | Pair
","♦7♦3♥8♣2♣7 | Pair
","♠7♠Q♦Q♣5♣J | Pair
","♠7♠Q♦Q♥4♣J | Pair
","♦3♥8♣2♣7♣3 | Pair
","♠7♠Q♦Q♥4♣5 | Pair
","♦3♥8♣2♣7♠2 | Pair
","♠7♠Q♦Q♦10♣J | Pair
","♠7♠Q♦Q♦10♣5 | Pair
","♠7♠Q♦Q♦10♥4 | Pair
","♠7♠Q♦Q♠2♣J | Pair
","♠7♠Q♦Q♠2♣5 | Pair
","♦3♥8♣2♦J♣3 | Pair
","♠7♠Q♦Q♠2♥4 | Pair
","♦3♥8♣2♦J♠2 | Pair
","♠7♠Q♦Q♠2♦10 | Pair
","♠7♠Q♣3♦Q♣J | Pair
","♠7♠Q♣3♦Q♣5 | Pair
","♦3♠Q♦Q♦10♥4 | Pair
","♦3♥8♣2♠Q♣3 | Pair
","♦3♥8♣2♠Q♦Q | Pair
","♦3♥8♣2♠Q♠2 | Pair
","♠7♠Q♣3♦Q♥4 | Pair
","♠7♠Q♣3♦Q♦10 | Pair
","♠7♠Q♣3♦Q♠2 | Pair
","♠7♦J♥4♣5♣J | Pair
","♦3♥8♣2♣3♦Q | Pair
","♦J♦Q♠2♣5♣J | Pair
","♦3♥8♣2♣3♦10 | Pair
","♦3♥8♣2♣3♥4 | Pair
","♦3♥8♣2♣3♣5 | Pair
","♦3♥8♣2♣3♣J | Pair
","♦3♥8♣2♦Q♠2 | Pair
","♠7♦J♦10♣5♣J | Pair
","♠7♦J♦10♥4♣J | Pair
","♠7♦J♠2♣5♣J | Pair
","♠7♦J♠2♥4♣J | Pair
","♦3♥8♣2♠2♦10 | Pair
","♦3♥8♣2♠2♥4 | Pair
","♦3♥8♣2♠2♣5 | Pair
","♦3♥8♣2♠2♣J | Pair
","♠7♦J♠2♦10♣J | Pair
","♠7♦J♦Q♣5♣J | Pair
","♠7♦J♦Q♥4♣J | Pair
","♠7♦J♦Q♦10♣J | Pair
","♠7♦J♦Q♠2♣J | Pair
","♠7♦J♣3♣5♣J | Pair
","♠7♦J♣3♥4♣J | Pair
","♦3♥8♣7♦J♣3 | Pair
","♠7♦J♣3♦10♣J | Pair
","♠7♦J♣3♠2♣J | Pair
","♠7♦J♣3♦Q♣J | Pair
","♠7♦J♠Q♣5♣J | Pair
","♠7♦J♠Q♥4♣J | Pair
","♦3♥8♣7♦J♣J | Pair
","♦3♥8♣7♠Q♣3 | Pair
","♦3♥8♣7♠Q♦Q | Pair
","♠7♦J♠Q♦10♣J | Pair
","♠7♦J♠Q♠2♣J | Pair
","♦J♦Q♠2♥4♣J | Pair
","♠7♦J♠Q♦Q♣5 | Pair
","♠7♦J♠Q♦Q♥4 | Pair
","♦3♥8♣7♣3♦Q | Pair
","♦3♥8♣7♣3♠2 | Pair
","♦3♥8♣7♣3♦10 | Pair
","♦3♥8♣7♣3♥4 | Pair
","♦3♥8♣7♣3♣5 | Pair
","♦3♥8♣7♣3♣J | Pair
","♠7♦J♠Q♦Q♦10 | Pair
","♠7♦J♠Q♦Q♠2 | Pair
","♠7♦J♠Q♣3♣J | Pair
","♠7♦J♠Q♣3♦Q | Pair
","♠7♣7♥4♣5♣J | Pair
","♠7♣7♦10♣5♣J | Pair
","♠7♣7♦10♥4♣J | Pair
","♠7♣7♦10♥4♣5 | Pair
","♠7♣7♠2♣5♣J | Pair
","♠7♣7♠2♥4♣J | Pair
","♠7♣7♠2♥4♣5 | Pair
","♠7♣7♠2♦10♣J | Pair
","♠7♣7♠2♦10♣5 | Pair
","♠7♣7♠2♦10♥4 | Pair
","♠7♣7♦Q♣5♣J | Pair
","♦3♥8♦J♠Q♣3 | Pair
","♦3♥8♦J♠Q♦Q | Pair
","♠7♣7♦Q♥4♣J | Pair
","♠7♣7♦Q♥4♣5 | Pair
","♠7♣7♦Q♦10♣J | Pair
","♠7♣7♦Q♦10♣5 | Pair
","♦3♥8♦J♠Q♣J | Pair
","♦3♥8♦J♣3♦Q | Pair
","♦3♥8♦J♣3♠2 | Pair
","♦3♥8♦J♣3♦10 | Pair
","♦3♥8♦J♣3♥4 | Pair
","♦3♥8♦J♣3♣5 | Pair
","♠7♦7♦3♠Q♠2 | Pair
","♠7♣7♦Q♦10♥4 | Pair
","♠7♣7♦Q♠2♣J | Pair
","♠7♣7♦Q♠2♣5 | Pair
","♠7♣7♦Q♠2♥4 | Pair
","♦3♥8♦J♦Q♣J | Pair
","♠7♣7♦Q♠2♦10 | Pair
","♠7♣7♣3♣5♣J | Pair
","♠7♣7♣3♥4♣J | Pair
","♦3♥8♦J♠2♣J | Pair
","♠7♣7♣3♥4♣5 | Pair
","♠7♣7♣3♦10♣J | Pair
","♦3♥8♦J♦10♣J | Pair
","♠7♣7♣3♦10♣5 | Pair
","♦3♥8♦J♥4♣J | Pair
","♦3♥8♦J♣5♣J | Pair
","♦J♦Q♠2♦10♣J | Pair
","♦7♥8♦J♦Q♣J | Pair
","♦3♥8♠Q♣3♦10 | Pair
","♦3♥8♠Q♣3♥4 | Pair
","♦3♥8♠Q♣3♣5 | Pair
","♦3♥8♠Q♣3♣J | Pair
","♦3♥8♠Q♦Q♠2 | Pair
","♦3♥8♠Q♦Q♦10 | Pair
","♦3♥8♠Q♦Q♥4 | Pair
","♦3♥8♠Q♦Q♣5 | Pair
","♦3♥8♠Q♦Q♣J | Pair
","♠7♣7♣3♦10♥4 | Pair
","♠7♣7♣3♠2♣J | Pair
","♠7♣7♣3♠2♣5 | Pair
","♠7♣7♣3♠2♥4 | Pair
","♠7♣7♣3♠2♦10 | Pair
","♠7♣7♣3♦Q♣J | Pair
","♠7♣7♣3♦Q♣5 | Pair
","♠7♣7♣3♦Q♥4 | Pair
","♠7♣7♣3♦Q♦10 | Pair
","♠7♣7♣3♦Q♠2 | Pair
","♦3♥8♣3♦Q♠2 | Pair
","♦3♥8♣3♦Q♦10 | Pair
","♦3♥8♣3♦Q♥4 | Pair
","♦3♥8♣3♦Q♣5 | Pair
","♦3♥8♣3♦Q♣J | Pair
","♦3♥8♣3♠2♦10 | Pair
","♦3♥8♣3♠2♥4 | Pair
","♦3♥8♣3♠2♣5 | Pair
","♦3♥8♣3♠2♣J | Pair
","♦3♥8♣3♦10♥4 | Pair
","♦3♥8♣3♦10♣5 | Pair
","♦3♥8♣3♦10♣J | Pair
","♦3♥8♣3♥4♣5 | Pair
","♦3♥8♣3♥4♣J | Pair
","♦3♥8♣3♣5♣J | Pair
","♠7♣7♠Q♣5♣J | Pair
","♠7♣7♠Q♥4♣J | Pair
","♠7♣7♠Q♥4♣5 | Pair
","♠7♣7♠Q♦10♣J | Pair
","♠7♣7♠Q♦10♣5 | Pair
","♠7♣7♠Q♦10♥4 | Pair
","♠7♣7♠Q♠2♣J | Pair
","♠7♣7♠Q♠2♣5 | Pair
","♠7♣7♠Q♠2♥4 | Pair
","♠7♣7♠Q♠2♦10 | Pair
","♠7♦7♦3♠Q♦10 | Pair
","♠7♦7♦3♠Q♥4 | Pair
","♦J♣3♥4♣5♣J | Pair
","♦J♣3♦10♣5♣J | Pair
","♦J♣3♦10♥4♣J | Pair
","♠7♣7♠Q♣3♣J | Pair
","♠7♣7♠Q♣3♣5 | Pair
","♠7♣7♠Q♣3♥4 | Pair
","♠7♣7♠Q♣3♦10 | Pair
","♠7♣7♠Q♣3♠2 | Pair
","♠7♦7♦3♠Q♣5 | Pair
","♦3♣2♣7♦J♣3 | Pair
","♦J♣3♠2♣5♣J | Pair
","♦3♣2♣7♦J♠2 | Pair
","♦J♣3♠2♥4♣J | Pair
","♠7♣7♦J♥4♣5 | Pair
","♠7♦7♦3♠Q♣J | Pair
","♦3♣2♣7♦J♣J | Pair
","♦3♣2♣7♠Q♣3 | Pair
","♦3♣2♣7♠Q♦Q | Pair
","♦3♣2♣7♠Q♠2 | Pair
","♠7♣7♦J♦10♣5 | Pair
","♠7♣7♦J♦10♥4 | Pair
","♦J♣3♠2♦10♣J | Pair
","♠7♣7♦J♠2♣5 | Pair
","♦3♣2♣7♣3♦Q | Pair
","♦J♣3♦Q♣5♣J | Pair
","♦3♣2♣7♣3♦10 | Pair
","♦3♣2♣7♣3♥4 | Pair
","♦3♣2♣7♣3♣5 | Pair
","♦3♣2♣7♣3♣J | Pair
","♦3♣2♣7♦Q♠2 | Pair
","♠7♣7♦J♠2♥4 | Pair
","♠7♣7♦J♠2♦10 | Pair
","♦J♣3♦Q♥4♣J | Pair
","♠7♣7♦J♦Q♣5 | Pair
","♦3♣2♣7♠2♦10 | Pair
","♦3♣2♣7♠2♥4 | Pair
","♦3♣2♣7♠2♣5 | Pair
","♦3♣2♣7♠2♣J | Pair
","♠7♣7♦J♦Q♥4 | Pair
","♠7♣7♦J♦Q♦10 | Pair
","♠7♣7♦J♦Q♠2 | Pair
","♦J♣3♦Q♦10♣J | Pair
","♠7♣7♦J♣3♣5 | Pair
","♠7♣7♦J♣3♥4 | Pair
","♦3♣2♦J♠Q♣3 | Pair
","♦3♣2♦J♠Q♦Q | Pair
","♦3♣2♦J♠Q♠2 | Pair
","♠7♣7♦J♣3♦10 | Pair
","♠7♣7♦J♣3♠2 | Pair
","♠7♣7♦J♣3♦Q | Pair
","♦3♣2♦J♠Q♣J | Pair
","♦3♣2♦J♣3♦Q | Pair
","♦J♣3♦Q♠2♣J | Pair
","♦3♣2♦J♣3♦10 | Pair
","♦3♣2♦J♣3♥4 | Pair
","♦3♣2♦J♣3♣5 | Pair
","♠7♦7♦3♦Q♠2 | Pair
","♦3♣2♦J♦Q♠2 | Pair
","♠7♦7♦3♦Q♦10 | Pair
","♠7♣7♦J♠Q♣5 | Pair
","♠7♣7♦J♠Q♥4 | Pair
","♦3♣2♦J♦Q♣J | Pair
","♦3♣2♦J♠2♦10 | Pair
","♦3♣2♦J♠2♥4 | Pair
","♦3♣2♦J♠2♣5 | Pair
","♦J♠Q♥4♣5♣J | Pair
","♠7♣7♦J♠Q♦10 | Pair
","♠7♣7♦J♠Q♠2 | Pair
","♦3♣2♦J♦10♣J | Pair
","♦J♠Q♦10♣5♣J | Pair
","♦3♣2♦J♥4♣J | Pair
","♦3♣2♦J♣5♣J | Pair
","♦J♠Q♦10♥4♣J | Pair
","♠7♦7♦3♦Q♥4 | Pair
","♦3♣2♠Q♣3♦10 | Pair
","♦3♣2♠Q♣3♥4 | Pair
