","♠4♥6♦2♠2♦10 | Pair
","♠8♠2♦10♣2♥Q | Pair
","♠4♥6♦2♠2♥Q | Pair
","♠4♥6♦2♦10♣2 | Pair
","♠4♣7♥6♠2♣2 | Pair
","♠4♥6♦2♣2♥Q | Pair
","♥4♠4♣7♥6♦8 | Pair
","♠4♣7♥6♦2♣2 | Pair
","♠4♣7♥6♦2♠2 | Pair
","♠4♣7♥6♦8♠8 | Pair
","♠4♣7♥6♣3♠3 | Pair
","♠4♥6♠8♠2♣2 | Pair
","♥4♠2♦10♣2♥Q | Pair
","♥4♥J♠2♣2♥Q | Pair
","♥4♥J♠2♦10♣2 | Pair
","♥4♠8♠2♣2♥Q | Pair
","♥4♠8♠2♦10♣2 | Pair
","♠4♥6♥J♠2♣2 | Pair
","♥4♠8♥J♠2♣2 | Pair
","♥4♦2♦10♣2♥Q | Pair
","♠8♥J♠2♣2♥Q | Pair
","♥4♦2♠2♦10♥Q | Pair
","♠4♥6♠2♦10♣2 | Pair
","♥4♠4♣7♥6♦2 | Pair
","♠4♥6♠2♣2♥Q | Pair
","♥4♦2♥J♣2♥Q | Pair
","♥4♠4♣7♥6♠3 | Pair
","♥4♦2♥J♦10♣2 | Pair
","♥4♣7♥6♦2♠2 | Pair
","♠4♣3♠3♦8♠2 | Pair
","♠4♣3♠3♦8♦10 | Pair
","♠4♣3♠3♦8♣2 | Pair
","♠4♣3♠3♦8♥Q | Pair
","♠4♣3♠3♦2♠8 | Pair
","♠4♣3♠3♦2♥J | Pair
","♠8♥J♠2♦10♣2 | Pair
","♠4♣3♠3♦2♦10 | Pair
","♦2♥J♦10♣2♥Q | Pair
","♠4♣3♠3♦2♥Q | Pair
","♠4♣3♠3♠8♥J | Pair
","♠4♣3♠3♠8♠2 | Pair
","♠4♣3♠3♠8♦10 | Pair
","♠4♣3♠3♠8♣2 | Pair
","♠4♣3♠3♠8♥Q | Pair
","♠4♣3♠3♥J♠2 | Pair
","♠4♣3♠3♥J♦10 | Pair
","♠4♣3♠3♥J♣2 | Pair
","♠4♣3♠3♥J♥Q | Pair
","♠4♣3♠3♠2♦10 | Pair
","♦2♥J♠2♦10♥Q | Pair
","♠4♣3♠3♠2♥Q | Pair
","♠4♣3♠3♦10♣2 | Pair
","♠4♣3♠3♦10♥Q | Pair
","♠4♣3♠3♣2♥Q | Pair
","♠4♣3♦8♦2♠8 | Pair
","♥4♦2♥J♠2♥Q | Pair
","♠4♣3♦8♦2♠2 | Pair
","♦2♠8♦10♣2♥Q | Pair
","♠4♣3♦8♦2♣2 | Pair
","♥4♦2♥J♠2♦10 | Pair
","♠4♣3♦8♠8♥J | Pair
","♠4♣3♦8♠8♠2 | Pair
","♠4♣3♦8♠8♦10 | Pair
","♠4♣3♦8♠8♣2 | Pair
","♠4♣3♦8♠8♥Q | Pair
","♥4♦2♠8♣2♥Q | Pair
","♥4♦2♠8♦10♣2 | Pair
","♥4♦2♠8♠2♥Q | Pair
","♦2♠8♠2♦10♥Q | Pair
","♥4♦2♠8♠2♦10 | Pair
","♠4♣3♦8♠2♣2 | Pair
","♥4♦2♠8♥J♣2 | Pair
","♥4♦2♠8♥J♠2 | Pair
","♥4♦8♠2♣2♥Q | Pair
","♥4♦8♠2♦10♣2 | Pair
","♥4♦8♥J♠2♣2 | Pair
","♠4♣3♦2♠8♠2 | Pair
","♥4♦8♠8♣2♥Q | Pair
","♠4♣3♦2♠8♣2 | Pair
","♥4♦8♠8♦10♥Q | Pair
","♠4♣3♦2♥J♠2 | Pair
","♥4♦8♠8♦10♣2 | Pair
","♠4♣3♦2♥J♣2 | Pair
","♥4♦8♠8♠2♥Q | Pair
","♠4♣3♦2♠2♦10 | Pair
","♦2♠8♥J♣2♥Q | Pair
","♠4♣3♦2♠2♥Q | Pair
","♠4♣3♦2♦10♣2 | Pair
","♥4♠4♣7♥6♠8 | Pair
","♠4♣3♦2♣2♥Q | Pair
","♥4♦8♠8♠2♦10 | Pair
","♥4♦8♠8♥J♥Q | Pair
","♥4♦8♠8♥J♣2 | Pair
","♥4♦8♠8♥J♦10 | Pair
","♥4♦8♠8♥J♠2 | Pair
","♠4♣3♠8♠2♣2 | Pair
","♥4♦8♦2♣2♥Q | Pair
","♥4♦8♦2♦10♣2 | Pair
","♥4♦8♦2♠2♥Q | Pair
","♦2♠8♥J♦10♣2 | Pair
","♥4♦8♦2♠2♦10 | Pair
","♠4♣3♥J♠2♣2 | Pair
","♥4♦8♦2♥J♣2 | Pair
","♥4♦8♦2♥J♠2 | Pair
","♥4♦8♦2♠8♥Q | Pair
","♦2♠8♥J♠2♥Q | Pair
","♠4♣3♠2♦10♣2 | Pair
","♥4♦8♦2♠8♦10 | Pair
","♠4♣3♠2♣2♥Q | Pair
","♦2♠8♥J♠2♦10 | Pair
","♠4♠3♦8♦2♠8 | Pair
","♥4♦8♦2♠8♥J | Pair
","♠4♠3♦8♦2♠2 | Pair
","♥4♠3♠2♣2♥Q | Pair
","♠4♠3♦8♦2♣2 | Pair
","♥4♠3♠2♦10♣2 | Pair
","♠4♠3♦8♠8♥J | Pair
","♠4♠3♦8♠8♠2 | Pair
","♠4♠3♦8♠8♦10 | Pair
","♠4♠3♦8♠8♣2 | Pair
","♠4♠3♦8♠8♥Q | Pair
","♥4♠3♥J♠2♣2 | Pair
","♥4♠3♠8♠2♣2 | Pair
","♥4♠3♦2♣2♥Q | Pair
","♥4♠3♦2♦10♣2 | Pair
","♥4♠3♦2♠2♥Q | Pair
","♠4♠3♦8♠2♣2 | Pair
","♦8♠2♦10♣2♥Q | Pair
","♥4♠3♦2♠2♦10 | Pair
","♥4♠3♦2♥J♣2 | Pair
","♥4♠3♦2♥J♠2 | Pair
","♥4♠3♦2♠8♣2 | Pair
","♠4♠3♦2♠8♠2 | Pair
","♥4♠3♦2♠8♠2 | Pair
","♠4♠3♦2♠8♣2 | Pair
","♥4♠3♦8♠2♣2 | Pair
","♠4♠3♦2♥J♠2 | Pair
","♥4♠3♦8♠8♥Q | Pair
","♠4♠3♦2♥J♣2 | Pair
","♥4♠3♦8♠8♣2 | Pair
","♠4♠3♦2♠2♦10 | Pair
","♥4♠4♣7♥6♥J | Pair
","♠4♠3♦2♠2♥Q | Pair
","♠4♠3♦2♦10♣2 | Pair
","♥4♠3♦8♠8♦10 | Pair
","♠4♠3♦2♣2♥Q | Pair
","♥4♠3♦8♠8♠2 | Pair
","♥4♠3♦8♠8♥J | Pair
","♥4♠3♦8♦2♣2 | Pair
","♥4♠3♦8♦2♠2 | Pair
","♥4♠3♦8♦2♠8 | Pair
","♠4♠3♠8♠2♣2 | Pair
","♥4♣3♠2♣2♥Q | Pair
","♥4♣3♠2♦10♣2 | Pair
","♥4♣3♥J♠2♣2 | Pair
","♥4♣3♠8♠2♣2 | Pair
","♥4♣3♦2♣2♥Q | Pair
","♠4♠3♥J♠2♣2 | Pair
","♥4♣3♦2♦10♣2 | Pair
","♥4♣3♦2♠2♥Q | Pair
","♦8♥J♠2♣2♥Q | Pair
","♥4♣3♦2♠2♦10 | Pair
","♠4♠3♠2♦10♣2 | Pair
","♥4♣3♦2♥J♣2 | Pair
","♠4♠3♠2♣2♥Q | Pair
","♥4♣3♦2♥J♠2 | Pair
","♠4♦8♦2♠8♥J | Pair
","♥4♠4♣7♥6♠2 | Pair
","♠4♦8♦2♠8♦10 | Pair
","♦8♥J♠2♦10♣2 | Pair
","♠4♦8♦2♠8♥Q | Pair
","♠4♦8♦2♥J♠2 | Pair
","♠4♣3♠3♦8♦2 | Pair
","♠4♦8♦2♥J♣2 | Pair
","♥4♣3♦2♠8♠2 | Pair
","♠4♦8♦2♠2♦10 | Pair
","♦8♠8♦10♣2♥Q | Pair
","♠4♦8♦2♠2♥Q | Pair
","♠4♦8♦2♦10♣2 | Pair
","♥4♣3♦8♠2♣2 | Pair
","♠4♦8♦2♣2♥Q | Pair
","♠4♦8♠8♥J♠2 | Pair
","♠4♦8♠8♥J♦10 | Pair
","♠4♦8♠8♥J♣2 | Pair
","♠4♦8♠8♥J♥Q | Pair
","♠4♦8♠8♠2♦10 | Pair
","♦8♠8♠2♦10♥Q | Pair
","♠4♦8♠8♠2♥Q | Pair
","♠4♦8♠8♦10♣2 | Pair
","♠4♦8♠8♦10♥Q | Pair
","♠4♦8♠8♣2♥Q | Pair
","♥4♣3♦8♠8♥Q | Pair
","♠4♦8♥J♠2♣2 | Pair
","♥4♣3♦8♠8♣2 | Pair
","♥4♣3♦8♠8♦10 | Pair
","♥4♣3♦8♠8♠2 | Pair
","♥4♣3♦8♠8♥J | Pair
","♠4♦8♠2♦10♣2 | Pair
","♥4♣3♦8♦2♣2 | Pair
","♠4♦8♠2♣2♥Q | Pair
","♥4♣3♦8♦2♠2 | Pair
","♠4♦2♠8♥J♠2 | Pair
","♥4♣3♦8♦2♠8 | Pair
","♠4♦2♠8♥J♣2 | Pair
","♥4♣3♠3♣2♥Q | Pair
","♠4♦2♠8♠2♦10 | Pair
","♦8♠8♥J♣2♥Q | Pair
","♠4♦2♠8♠2♥Q | Pair
","♠4♦2♠8♦10♣2 | Pair
","♥4♣3♠3♦10♥Q | Pair
","♠4♦2♠8♣2♥Q | Pair
","♠4♦2♥J♠2♦10 | Pair
","♦8♠8♥J♦10♥Q | Pair
","♠4♦2♥J♠2♥Q | Pair
","♠4♦2♥J♦10♣2 | Pair
","♥4♣3♠3♦10♣2 | Pair
","♠4♦2♥J♣2♥Q | Pair
","♦8♠8♥J♦10♣2 | Pair
","♠4♦2♠2♦10♥Q | Pair
","♦8♠8♥J♠2♥Q | Pair
","♠4♦2♦10♣2♥Q | Pair
","♥4♣3♠3♠2♥Q | Pair
","♠4♠8♥J♠2♣2 | Pair
","♦8♠8♥J♠2♦10 | Pair
","♥4♣3♠3♠2♦10 | Pair
","♥4♣3♠3♥J♥Q | Pair
","♥4♣3♠3♥J♣2 | Pair
","♠4♠8♠2♦10♣2 | Pair
","♥4♣3♠3♥J♦10 | Pair
","♠4♠8♠2♣2♥Q | Pair
","♥4♣3♠3♥J♠2 | Pair
","♠4♥J♠2♦10♣2 | Pair
","♥4♣3♠3♠8♥Q | Pair
","♠4♥J♠2♣2♥Q | Pair
","♥4♣3♠3♠8♣2 | Pair
","♠4♠2♦10♣2♥Q | Pair
","♣7♥6♣3♠3♦8 | Pair
","♣7♥6♣3♠3♦2 | Pair
","♣7♥6♣3♠3♠8 | Pair
","♣7♥6♣3♠3♥J | Pair
","♣7♥6♣3♠3♠2 | Pair
","♣7♥6♣3♠3♦10 | Pair
","♣7♥6♣3♠3♣2 | Pair
","♣7♥6♣3♠3♥Q | Pair
","♥4♣3♠3♠8♦10 | Pair
","♣7♥6♣3♦8♠8 | Pair
","♥4♣3♠3♠8♠2 | Pair
","♥4♣3♠3♠8♥J | Pair
","♥4♣3♠3♦2♥Q | Pair
","♦8♦2♦10♣2♥Q | Pair
","♥4♣3♠3♦2♦10 | Pair
","♦8♦2♠2♦10♥Q | Pair
","♥4♣3♠3♦2♥J | Pair
","♣7♥6♣3♦2♠2 | Pair
","♥4♣3♠3♦2♠8 | Pair
","♣7♥6♣3♦2♣2 | Pair
","♥4♣3♠3♦8♥Q | Pair
","♥4♣3♠3♦8♣2 | Pair
","♥4♣3♠3♦8♦10 | Pair
","♥4♣3♠3♦8♠2 | Pair
","♥4♣3♠3♦8♥J | Pair
","♦8♦2♥J♣2♥Q | Pair
","♥4♣3♠3♦8♦2 | Pair
","♥4♥6♠2♣2♥Q | Pair
","♥4♥6♠2♦10♣2 | Pair
","♥4♥6♥J♠2♣2 | Pair
","♥4♥6♠8♠2♣2 | Pair
","♣7♥6♣3♠2♣2 | Pair
","♥4♥6♦2♣2♥Q | Pair
","♥4♥6♦2♦10♣2 | Pair
","♥4♥6♦2♠2♥Q | Pair
","♥4♠4♣7♥6♦10 | Pair
","♥4♥6♦2♠2♦10 | Pair
","♣7♥6♠3♦8♠8 | Pair
","♥4♥6♦2♥J♣2 | Pair
","♥4♥6♦2♥J♠2 | Pair
","♥4♥6♦2♠8♣2 | Pair
","♥4♥6♦2♠8♠2 | Pair
","♥4♥6♦8♠2♣2 | Pair
","♥4♥6♦8♠8♥Q | Pair
","♥4♥6♦8♠8♣2 | Pair
","♣7♥6♠3♦2♠2 | Pair
","♥4♥6♦8♠8♦10 | Pair
","♣7♥6♠3♦2♣2 | Pair
","♥4♥6♦8♠8♠2 | Pair
","♥4♥6♦8♠8♥J | Pair
","♥4♥6♦8♦2♣2 | Pair
","♥4♥6♦8♦2♠2 | Pair
","♥4♥6♦8♦2♠8 | Pair
","♥4♥6♠3♠2♣2 | Pair
","♥4♥6♠3♦2♣2 | Pair
","♥4♥6♠3♦2♠2 | Pair
","♥4♥6♠3♦8♠8 | Pair
","♥4♥6♣3♠2♣2 | Pair
","♥4♥6♣3♦2♣2 | Pair
","♣7♥6♠3♠2♣2 | Pair
","♥4♥6♣3♦2♠2 | Pair
","♥4♥6♣3♦8♠8 | Pair
","♥4♥6♣3♠3♥Q | Pair
","♥4♥6♣3♠3♣2 | Pair
","♣7♥6♦8♦2♠8 | Pair
","♥4♥6♣3♠3♦10 | Pair
","♣7♥6♦8♦2♠2 | Pair
","♥4♥6♣3♠3♠2 | Pair
","♣7♥6♦8♦2♣2 | Pair
","♥4♥6♣3♠3♥J | Pair
","♣7♥6♦8♠8♥J | Pair
","♣7♥6♦8♠8♠2 | Pair
","♣7♥6♦8♠8♦10 | Pair
","♣7♥6♦8♠8♣2 | Pair
","♣7♥6♦8♠8♥Q | Pair
","♥4♥6♣3♠3♠8 | Pair
","♥4♥6♣3♠3♦2 | Pair
","♥4♥6♣3♠3♦8 | Pair
","♥4♣7♠2♣2♥Q | Pair
","♥4♣7♠2♦10♣2 | Pair
","♣7♥6♦8♠2♣2 | Pair
","♥4♣7♥J♠2♣2 | Pair
","♥4♣7♠8♠2♣2 | Pair
","♥4♣7♦2♣2♥Q | Pair
","♥4♣7♦2♦10♣2 | Pair
","♥4♣7♦2♠2♥Q | Pair
","♣7♥6♦2♠8♠2 | Pair
","♦8♦2♥J♦10♣2 | Pair
","♣7♥6♦2♠8♣2 | Pair
","♥4♣7♦2♠2♦10 | Pair
","♣7♥6♦2♥J♠2 | Pair
","♥4♣7♦2♥J♣2 | Pair
","♣7♥6♦2♥J♣2 | Pair
","♥4♣7♦2♥J♠2 | Pair
","♣7♥6♦2♠2♦10 | Pair
","♦8♦2♥J♠2♥Q | Pair
","♣7♥6♦2♠2♥Q | Pair
","♣7♥6♦2♦10♣2 | Pair
","♥4♣7♦2♠8♣2 | Pair
","♣7♥6♦2♣2♥Q | Pair
","♥4♣7♦2♠8♠2 | Pair
","♥4♣7♦8♠2♣2 | Pair
","♥4♣7♦8♠8♥Q | Pair
","♥4♣7♦8♠8♣2 | Pair
","♥4♣7♦8♠8♦10 | Pair
","♣7♥6♠8♠2♣2 | Pair
","♥4♣7♦8♠8♠2 | Pair
","♥4♣7♦8♠8♥J | Pair
","♥4♣7♦8♦2♣2 | Pair
","♥4♣7♦8♦2♠2 | Pair
","♥4♣7♦8♦2♠8 | Pair
","♣7♥6♥J♠2♣2 | Pair
","♥4♣7♠3♠2♣2 | Pair
","♥4♣7♠3♦2♣2 | Pair
","♥4♣7♠3♦2♠2 | Pair
","♥4♣7♠3♦8♠8 | Pair
","♣7♥6♠2♦10♣2 | Pair
","♥4♣7♣3♠2♣2 | Pair
","♣7♥6♠2♣2♥Q | Pair
","♥4♣7♣3♦2♣2 | Pair
","♣7♣3♠3♦8♦2 | Pair
","♦8♦2♥J♠2♦10 | Pair
","♣7♣3♠3♦8♥J | Pair
","♣7♣3♠3♦8♠2 | Pair
","♣7♣3♠3♦8♦10 | Pair
","♣7♣3♠3♦8♣2 | Pair
","♣7♣3♠3♦8♥Q | Pair
","♣7♣3♠3♦2♠8 | Pair
","♣7♣3♠3♦2♥J | Pair
","♦8♦2♠8♦10♥Q | Pair
","♣7♣3♠3♦2♦10 | Pair
","♦8♦2♠8♥J♥Q | Pair
","♣7♣3♠3♦2♥Q | Pair
","♣7♣3♠3♠8♥J | Pair
","♣7♣3♠3♠8♠2 | Pair
","♣7♣3♠3♠8♦10 | Pair
","♣7♣3♠3♠8♣2 | Pair
","♣7♣3♠3♠8♥Q | Pair
","♣7♣3♠3♥J♠2 | Pair
","♣7♣3♠3♥J♦10 | Pair
","♣7♣3♠3♥J♣2 | Pair
","♣7♣3♠3♥J♥Q | Pair
","♣7♣3♠3♠2♦10 | Pair
","♦8♦2♠8♥J♦10 | Pair
","♣7♣3♠3♠2♥Q | Pair
","♣7♣3♠3♦10♣2 | Pair
","♣7♣3♠3♦10♥Q | Pair
","♣7♣3♠3♣2♥Q | Pair
","♣7♣3♦8♦2♠8 | Pair
","♥4♣7♣3♦2♠2 | Pair
","♣7♣3♦8♦2♠2 | Pair
","♥4♣7♣3♦8♠8 | Pair
","♣7♣3♦8♦2♣2 | Pair
","♥4♣7♣3♠3♥Q | Pair
","♣7♣3♦8♠8♥J | Pair
","♣7♣3♦8♠8♠2 | Pair
","♣7♣3♦8♠8♦10 | Pair
","♣7♣3♦8♠8♣2 | Pair
","♣7♣3♦8♠8♥Q | Pair
","♥4♣7♣3♠3♣2 | Pair
","♥4♣7♣3♠3♦10 | Pair
","♥4♣7♣3♠3♠2 | Pair
","♥4♣7♣3♠3♥J | Pair
","♥4♣7♣3♠3♠8 | Pair
","♣7♣3♦8♠2♣2 | Pair
","♥4♣7♣3♠3♦2 | Pair
","♥4♣7♣3♠3♦8 | Pair
","♥4♣7♥6♠2♣2 | Pair
","♥4♣7♥6♦2♣2 | Pair
","♠4♣3♠3♦8♥J | Pair
","♣7♣3♦2♠8♠2 | Pair
","♥4♣7♥6♦8♠8 | Pair
","♣7♣3♦2♠8♣2 | Pair
","♥4♣7♥6♣3♠3 | Pair
","♣7♣3♦2♥J♠2 | Pair
","♥4♠4♦10♣2♥Q | Pair
","♣7♣3♦2♥J♣2 | Pair
","♠3♠2♦10♣2♥Q | Pair
","♣7♣3♦2♠2♦10 | Pair
","♥4♠4♣7♥6♣2 | Pair
","♣7♣3♦2♠2♥Q | Pair
","♣7♣3♦2♦10♣2 | Pair
","♥4♠4♠2♦10♥Q | Pair
","♣7♣3♦2♣2♥Q | Pair
","♠3♥J♠2♣2♥Q | Pair
","♥4♠4♥J♣2♥Q | Pair
","♥4♠4♥J♦10♥Q | Pair
","♥4♠4♥J♦10♣2 | Pair
","♥4♠4♥J♠2♥Q | Pair
","♣7♣3♠8♠2♣2 | Pair
","♥4♠4♣7♥6♥Q | Pair
","♥4♠4♥J♠2♦10 | Pair
","♥4♠4♠8♣2♥Q | Pair
","♥4♠4♠8♦10♥Q | Pair
","♥4♠4♠8♦10♣2 | Pair
","♣7♣3♥J♠2♣2 | Pair
","♥4♠4♠8♠2♥Q | Pair
","♠3♥J♠2♦10♣2 | Pair
","♥4♠4♠8♠2♦10 | Pair
","♥4♠4♠8♥J♥Q | Pair
","♣7♣3♠2♦10♣2 | Pair
","♥4♠4♠8♥J♣2 | Pair
","♣7♣3♠2♣2♥Q | Pair
","♥4♠4♠8♥J♦10 | Pair
","♣7♠3♦8♦2♠8 | Pair
","♥4♠4♠8♥J♠2 | Pair
","♣7♠3♦8♦2♠2 | Pair
","♠3♠8♠2♣2♥Q | Pair
","♣7♠3♦8♦2♣2 | Pair
","♥4♠4♦2♦10♥Q | Pair
","♣7♠3♦8♠8♥J | Pair
","♣7♠3♦8♠8♠2 | Pair
","♣7♠3♦8♠8♦10 | Pair
","♣7♠3♦8♠8♣2 | Pair
","♣7♠3♦8♠8♥Q | Pair
","♥4♠4♣7♣3♦8 | Pair
","♠3♠8♠2♦10♣2 | Pair
","♥4♠4♣7♣3♦2 | Pair
","♥4♠4♣7♣3♠8 | Pair
","♥4♠4♦2♥J♥Q | Pair
","♣7♠3♦8♠2♣2 | Pair
","♥4♠4♣7♣3♥J | Pair
","♥4♠4♦2♥J♦10 | Pair
","♥4♠4♣7♣3♠2 | Pair
","♥4♠4♦2♠8♥Q | Pair
","♠3♠8♥J♠2♣2 | Pair
","♣7♠3♦2♠8♠2 | Pair
","♥4♠4♦2♠8♦10 | Pair
","♣7♠3♦2♠8♣2 | Pair
","♥4♠4♣7♣3♦10 | Pair
","♣7♠3♦2♥J♠2 | Pair
","♥4♠4♦2♠8♥J | Pair
","♣7♠3♦2♥J♣2 | Pair
","♥4♠4♦8♣2♥Q | Pair
","♣7♠3♦2♠2♦10 | Pair
","♠3♦2♦10♣2♥Q | Pair
","♣7♠3♦2♠2♥Q | Pair
","♣7♠3♦2♦10♣2 | Pair
","♥4♠4♦8♦10♥Q | Pair
","♣7♠3♦2♣2♥Q | Pair
","♥4♠4♦8♦10♣2 | Pair
","♥4♠4♦8♠2♥Q | Pair
","♠3♦2♠2♦10♥Q | Pair
","♥4♠4♦8♠2♦10 | Pair
","♠4♥6♣3♦2♣2 | Pair
","♣7♠3♠8♠2♣2 | Pair
","♥4♠4♦8♥J♣2 | Pair
","♥4♠4♦8♥J♦10 | Pair
","♥4♠4♦8♥J♠2 | Pair
","♠3♦2♥J♣2♥Q | Pair
","♥4♠4♣7♣3♣2 | Pair
","♣7♠3♥J♠2♣2 | Pair
","♠3♦2♥J♦10♣2 | Pair
","♠3♦2♥J♠2♥Q | Pair
","♠3♦2♥J♠2♦10 | Pair
","♥4♠4♦8♦2♥Q | Pair
","♣7♠3♠2♦10♣2 | Pair
","♠3♦2♠8♣2♥Q | Pair
","♣7♠3♠2♣2♥Q | Pair
","♥4♠4♦8♦2♦10 | Pair
","♣7♦8♦2♠8♥J | Pair
","♥4♠4♣7♣3♥Q | Pair
","♣7♦8♦2♠8♦10 | Pair
","♠3♦2♠8♦10♣2 | Pair
","♣7♦8♦2♠8♥Q | Pair
","♣7♦8♦2♥J♠2 | Pair
","♠3♦2♠8♠2♥Q | Pair
","♣7♦8♦2♥J♣2 | Pair
","♥4♠4♦8♦2♥J | Pair
","♣7♦8♦2♠2♦10 | Pair
","♠3♦2♠8♠2♦10 | Pair
","♣7♦8♦2♠2♥Q | Pair
","♣7♦8♦2♦10♣2 | Pair
","♥4♠4♣7♠3♦8 | Pair
","♣7♦8♦2♣2♥Q | Pair
","♣7♦8♠8♥J♠2 | Pair
","♣7♦8♠8♥J♦10 | Pair
","♣7♦8♠8♥J♣2 | Pair
","♣7♦8♠8♥J♥Q | Pair
","♣7♦8♠8♠2♦10 | Pair
","♠3♦2♠8♥J♣2 | Pair
","♣7♦8♠8♠2♥Q | Pair
","♣7♦8♠8♦10♣2 | Pair
","♣7♦8♠8♦10♥Q | Pair
","♣7♦8♠8♣2♥Q | Pair
","♥4♠4♠3♣2♥Q | Pair
","♣7♦8♥J♠2♣2 | Pair
","♥4♠4♠3♦10♥Q | Pair
","♥4♠4♠3♦10♣2 | Pair
","♥4♠4♠3♠2♥Q | Pair
","♥4♠4♣7♥6♣3 | Pair
","♣7♦8♠2♦10♣2 | Pair
","♥4♠4♣7♠3♦2 | Pair
","♣7♦8♠2♣2♥Q | Pair
","♥4♠4♠3♠2♦10 | Pair
","♣7♦2♠8♥J♠2 | Pair
","♥4♠4♠3♥J♥Q | Pair
","♣7♦2♠8♥J♣2 | Pair
","♥4♠4♠3♥J♣2 | Pair
","♣7♦2♠8♠2♦10 | Pair
","♠3♦2♠8♥J♠2 | Pair
","♣7♦2♠8♠2♥Q | Pair
","♣7♦2♠8♦10♣2 | Pair
","♥4♠4♠3♥J♦10 | Pair
","♣7♦2♠8♣2♥Q | Pair
","♣7♦2♥J♠2♦10 | Pair
","♥4♠4♣7♠3♠8 | Pair
","♣7♦2♥J♠2♥Q | Pair
","♣7♦2♥J♦10♣2 | Pair
","♥4♠4♠3♥J♠2 | Pair
","♣7♦2♥J♣2♥Q | Pair
","♠3♦8♠2♣2♥Q | Pair
","♣7♦2♠2♦10♥Q | Pair
","♥4♠4♣7♠3♥J | Pair
","♣7♦2♦10♣2♥Q | Pair
","♥4♠4♠3♠8♥Q | Pair
","♣7♠8♥J♠2♣2 | Pair
","♥4♠4♠3♠8♣2 | Pair
","♥4♠4♠3♠8♦10 | Pair
","♥4♠4♠3♠8♠2 | Pair
","♥4♠4♠3♠8♥J | Pair
","♣7♠8♠2♦10♣2 | Pair
","♥4♠4♠3♦2♥Q | Pair
","♣7♠8♠2♣2♥Q | Pair
","♠3♦8♠2♦10♣2 | Pair
","♣7♥J♠2♦10♣2 | Pair
","♥4♠4♠3♦2♦10 | Pair
","♣7♥J♠2♣2♥Q | Pair
","♥4♠4♣7♠3♠2 | Pair
","♣7♠2♦10♣2♥Q | Pair
","♥6♣3♠3♦8♦2 | Pair
","♥4♠4♣7♠3♦10 | Pair
","♥6♣3♠3♦8♥J | Pair
