♦A, ♠6, ♦K, ♠Q, ♣K | pair
♦A, ♦K, ♣K, ♣5, ♥Q | pair
♦A, ♦K, ♣K, ♣5, ♣9 | pair
♦A, ♦K, ♣K, ♣8, ♥2 | pair
♦A, ♦K, ♣K, ♣8, ♥Q | pair
♦A, ♦K, ♣K, ♣8, ♣9 | pair
♦A, ♦K, ♣K, ♥2, ♥Q | pair
♦A, ♦K, ♣K, ♥2, ♣9 | pair
♦A, ♦K, ♣K, ♥Q, ♣9 | pair
♦A, ♠Q, ♣2, ♣K, ♥2 | pair
♦A, ♠Q, ♣2, ♣K, ♥Q | pair
♦A, ♠Q, ♣2, ♥10, ♥2 | pair
♦A, ♠Q, ♣2, ♥10, ♥Q | pair
♦A, ♠Q, ♣2, ♣5, ♥2 | pair
♦A, ♠Q, ♣2, ♣5, ♥Q | pair
♦A, ♠Q, ♣2, ♣8, ♥2 | pair
♦A, ♠Q, ♣2, ♣8, ♥Q | pair
♦A, ♠Q, ♣2, ♥2, ♥Q | two pairs
♦A, ♠Q, ♣2, ♥2, ♣9 | pair
♦A, ♠Q, ♣2, ♥Q, ♣9 | pair
♦A, ♠Q, ♣K, ♥10, ♥Q | pair
♦A, ♠Q, ♣K, ♣5, ♥Q | pair
♦A, ♠Q, ♣K, ♣8, ♥Q | pair
♦A, ♠Q, ♣K, ♥2, ♥Q | pair
♦A, ♠Q, ♣K, ♥Q, ♣9 | pair
♦A, ♠Q, ♥10, ♣5, ♥Q | pair
♦A, ♠Q, ♥10, ♣8, ♥Q | pair
♦A, ♠Q, ♥10, ♥2, ♥Q | pair
♦A, ♠Q, ♥10, ♥Q, ♣9 | pair
♦A, ♠Q, ♣5, ♣8, ♥Q | pair
♦A, ♠Q, ♣5, ♥2, ♥Q | pair
♦A, ♠Q, ♣5, ♥Q, ♣9 | pair
♦A, ♠Q, ♣8, ♥2, ♥Q | pair
♦A, ♠Q, ♣8, ♥Q, ♣9 | pair
♦A, ♠Q, ♥2, ♥Q, ♣9 | pair
♦A, ♣2, ♣K, ♥10, ♥2 | pair
♦A, ♣2, ♣K, ♣5, ♥2 | pair
♦A, ♣2, ♣K, ♣8, ♥2 | pair
♦A, ♣2, ♣K, ♥2, ♥Q | pair
♦A, ♣2, ♣K, ♥2, ♣9 | pair
♦A, ♣2, ♥10, ♣5, ♥2 | pair
♦A, ♣2, ♥10, ♣8, ♥2 | pair
♦A, ♣2, ♥10, ♥2, ♥Q | pair
♦A, ♣2, ♥10, ♥2, ♣9 | pair
♦A, ♣2, ♣5, ♣8, ♥2 | pair
♦A, ♣2, ♣5, ♥2, ♥Q | pair
♦A, ♣2, ♣5, ♥2, ♣9 | pair
♦A, ♣2, ♣8, ♥2, ♥Q | pair
♦A, ♣2, ♣8, ♥2, ♣9 | pair
♦A, ♣2, ♥2, ♥Q, ♣9 | pair
♠6, ♦K, ♠Q, ♣2, ♣K | pair
♠6, ♦K, ♠Q, ♣2, ♥2 | pair
♠6, ♦K, ♠Q, ♣2, ♥Q | pair
♠6, ♦K, ♠Q, ♣K, ♥10 | pair
♠6, ♦K, ♠Q, ♣K, ♣5 | pair
♠6, ♦K, ♠Q, ♣K, ♣8 | pair
♠6, ♦K, ♠Q, ♣K, ♥2 | pair
♠6, ♦K, ♠Q, ♣K, ♥Q | two pairs
♠6, ♦K, ♠Q, ♣K, ♣9 | pair
♠6, ♦K, ♠Q, ♥10, ♥Q | pair
♠6, ♦K, ♠Q, ♣5, ♥Q | pair
♠6, ♦K, ♠Q, ♣8, ♥Q | pair
♠6, ♦K, ♠Q, ♥2, ♥Q | pair
♠6, ♦K, ♠Q, ♥Q, ♣9 | pair
♠6, ♦K, ♣2, ♣K, ♥10 | pair
♠6, ♦K, ♣2, ♣K, ♣5 | pair
♠6, ♦K, ♣2, ♣K, ♣8 | pair
♠6, ♦K, ♣2, ♣K, ♥2 | two pairs
♠6, ♦K, ♣2, ♣K, ♥Q | pair
♠6, ♦K, ♣2, ♣K, ♣9 | pair
♠6, ♦K, ♣2, ♥10, ♥2 | pair
♠6, ♦K, ♣2, ♣5, ♥2 | pair
♠6, ♦K, ♣2, ♣8, ♥2 | pair
♠6, ♦K, ♣2, ♥2, ♥Q | pair
♠6, ♦K, ♣2, ♥2, ♣9 | pair
♠6, ♦K, ♣K, ♥10, ♣5 | pair
♠6, ♦K, ♣K, ♥10, ♣8 | pair
♠6, ♦K, ♣K, ♥10, ♥2 | pair
♠6, ♦K, ♣K, ♥10, ♥Q | pair
♠6, ♦K, ♣K, ♥10, ♣9 | pair
♠6, ♦K, ♣K, ♣5, ♣8 | pair
♠6, ♦K, ♣K, ♣5, ♥2 | pair
♠6, ♦K, ♣K, ♣5, ♥Q | pair
♠6, ♦K, ♣K, ♣5, ♣9 | pair
♠6, ♦K, ♣K, ♣8, ♥2 | pair
♠6, ♦K, ♣K, ♣8, ♥Q | pair
♠6, ♦K, ♣K, ♣8, ♣9 | pair
♠6, ♦K, ♣K, ♥2, ♥Q | pair
♠6, ♦K, ♣K, ♥2, ♣9 | pair
♠6, ♦K, ♣K, ♥Q, ♣9 | pair
♠6, ♠Q, ♣2, ♣K, ♥2 | pair
♠6, ♠Q, ♣2, ♣K, ♥Q | pair
♠6, ♠Q, ♣2, ♥10, ♥2 | pair
♠6, ♠Q, ♣2, ♥10, ♥Q | pair
♠6, ♠Q, ♣2, ♣5, ♥2 | pair
♠6, ♠Q, ♣2, ♣5, ♥Q | pair
♠6, ♠Q, ♣2, ♣8, ♥2 | pair
♠6, ♠Q, ♣2, ♣8, ♥Q | pair
♠6, ♠Q, ♣2, ♥2, ♥Q | two pairs
♠6, ♠Q, ♣2, ♥2, ♣9 | pair
♠6, ♠Q, ♣2, ♥Q, ♣9 | pair
♠6, ♠Q, ♣K, ♥10, ♥Q | pair
♠6, ♠Q, ♣K, ♣5, ♥Q | pair
♠6, ♠Q, ♣K, ♣8, ♥Q | pair
♠6, ♠Q, ♣K, ♥2, ♥Q | pair
♠6, ♠Q, ♣K, ♥Q, ♣9 | pair
♠6, ♠Q, ♥10, ♣5, ♥Q | pair
♠6, ♠Q, ♥10, ♣8, ♥Q | pair
♠6, ♠Q, ♥10, ♥2, ♥Q | pair
♠6, ♠Q, ♥10, ♥Q, ♣9 | pair
♠6, ♠Q, ♣5, ♣8, ♥Q | pair
♠6, ♠Q, ♣5, ♥2, ♥Q | pair
♠6, ♠Q, ♣5, ♥Q, ♣9 | pair
♠6, ♠Q, ♣8, ♥2, ♥Q | pair
♠6, ♠Q, ♣8, ♥Q, ♣9 | pair
♠6, ♠Q, ♥2, ♥Q, ♣9 | pair
♠6, ♣2, ♣K, ♥10, ♥2 | pair
♠6, ♣2, ♣K, ♣5, ♥2 | pair
♠6, ♣2, ♣K, ♣8, ♥2 | pair
♠6, ♣2, ♣K, ♥2, ♥Q | pair
♠6, ♣2, ♣K, ♥2, ♣9 | pair
♠6, ♣2, ♥10, ♣5, ♥2 | pair
♠6, ♣2, ♥10, ♣8, ♥2 | pair
♠6, ♣2, ♥10, ♥2, ♥Q | pair
♠6, ♣2, ♥10, ♥2, ♣9 | pair
♠6, ♣2, ♣5, ♣8, ♥2 | pair
♠6, ♣2, ♣5, ♥2, ♥Q | pair
♠6, ♣2, ♣5, ♥2, ♣9 | pair
♠6, ♣2, ♣8, ♥2, ♥Q | pair
♠6, ♣2, ♣8, ♥2, ♣9 | pair
♠6, ♣2, ♥2, ♥Q, ♣9 | pair
♦K, ♠Q, ♣2, ♣K, ♥10 | pair
♦K, ♠Q, ♣2, ♣K, ♣5 | pair
♦K, ♠Q, ♣2, ♣K, ♣8 | pair
♦K, ♠Q, ♣2, ♣K, ♥2 | two pairs
♦K, ♠Q, ♣2, ♣K, ♥Q | two pairs
♦K, ♠Q, ♣2, ♣K, ♣9 | pair
♦K, ♠Q, ♣2, ♥10, ♥2 | pair
♦K, ♠Q, ♣2, ♥10, ♥Q | pair
♦K, ♠Q, ♣2, ♣5, ♥2 | pair
♦K, ♠Q, ♣2, ♣5, ♥Q | pair
♦K, ♠Q, ♣2, ♣8, ♥2 | pair
♦K, ♠Q, ♣2, ♣8, ♥Q | pair
♦K, ♠Q, ♣2, ♥2, ♥Q | two pairs
♦K, ♠Q, ♣2, ♥2, ♣9 | pair
♦K, ♠Q, ♣2, ♥Q, ♣9 | pair
♦K, ♠Q, ♣K, ♥10, ♣5 | pair
♦K, ♠Q, ♣K, ♥10, ♣8 | pair
♦K, ♠Q, ♣K, ♥10, ♥2 | pair
♦K, ♠Q, ♣K, ♥10, ♥Q | two pairs
♦K, ♠Q, ♣K, ♥10, ♣9 | pair
♦K, ♠Q, ♣K, ♣5, ♣8 | pair
♦K, ♠Q, ♣K, ♣5, ♥2 | pair
♦K, ♠Q, ♣K, ♣5, ♥Q | two pairs
♦K, ♠Q, ♣K, ♣5, ♣9 | pair
♦K, ♠Q, ♣K, ♣8, ♥2 | pair
♦K, ♠Q, ♣K, ♣8, ♥Q | two pairs
♦K, ♠Q, ♣K, ♣8, ♣9 | pair
♦K, ♠Q, ♣K, ♥2, ♥Q | two pairs
♦K, ♠Q, ♣K, ♥2, ♣9 | pair
♦K, ♠Q, ♣K, ♥Q, ♣9 | two pairs
♦K, ♠Q, ♥10, ♣5, ♥Q | pair
♦K, ♠Q, ♥10, ♣8, ♥Q | pair
♦K, ♠Q, ♥10, ♥2, ♥Q | pair
♦K, ♠Q, ♥10, ♥Q, ♣9 | pair
♦K, ♠Q, ♣5, ♣8, ♥Q | pair
♦K, ♠Q, ♣5, ♥2, ♥Q | pair
♦K, ♠Q, ♣5, ♥Q, ♣9 | pair
♦K, ♠Q, ♣8, ♥2, ♥Q | pair
♦K, ♠Q, ♣8, ♥Q, ♣9 | pair
♦K, ♠Q, ♥2, ♥Q, ♣9 | pair
♦K, ♣2, ♣K, ♥10, ♣5 | pair
♦K, ♣2, ♣K, ♥10, ♣8 | pair
♦K, ♣2, ♣K, ♥10, ♥2 | two pairs
♦K, ♣2, ♣K, ♥10, ♥Q | pair
♦K, ♣2, ♣K, ♥10, ♣9 | pair
♦K, ♣2, ♣K, ♣5, ♣8 | pair
♦K, ♣2, ♣K, ♣5, ♥2 | two pairs
♦K, ♣2, ♣K, ♣5, ♥Q | pair
♦K, ♣2, ♣K, ♣5, ♣9 | pair
♦K, ♣2, ♣K, ♣8, ♥2 | two pairs
♦K, ♣2, ♣K, ♣8, ♥Q | pair
♦K, ♣2, ♣K, ♣8, ♣9 | pair
♦K, ♣2, ♣K, ♥2, ♥Q | two pairs
♦K, ♣2, ♣K, ♥2, ♣9 | two pairs
♦K, ♣2, ♣K, ♥Q, ♣9 | pair
♦K, ♣2, ♥10, ♣5, ♥2 | pair
♦K, ♣2, ♥10, ♣8, ♥2 | pair
♦K, ♣2, ♥10, ♥2, ♥Q | pair
♦K, ♣2, ♥10, ♥2, ♣9 | pair
♦K, ♣2, ♣5, ♣8, ♥2 | pair
♦K, ♣2, ♣5, ♥2, ♥Q | pair
♦K, ♣2, ♣5, ♥2, ♣9 | pair
♦K, ♣2, ♣8, ♥2, ♥Q | pair
♦K, ♣2, ♣8, ♥2, ♣9 | pair
♦K, ♣2, ♥2, ♥Q, ♣9 | pair
♦K, ♣K, ♥10, ♣5, ♣8 | pair
♦K, ♣K, ♥10, ♣5, ♥2 | pair
♦K, ♣K, ♥10, ♣5, ♥Q | pair
♦K, ♣K, ♥10, ♣5, ♣9 | pair
♦K, ♣K, ♥10, ♣8, ♥2 | pair
♦K, ♣K, ♥10, ♣8, ♥Q | pair
♦K, ♣K, ♥10, ♣8, ♣9 | pair
♦K, ♣K, ♥10, ♥2, ♥Q | pair
♦K, ♣K, ♥10, ♥2, ♣9 | pair
♦K, ♣K, ♥10, ♥Q, ♣9 | pair
♦K, ♣K, ♣5, ♣8, ♥2 | pair
♦K, ♣K, ♣5, ♣8, ♥Q | pair
♦K, ♣K, ♣5, ♣8, ♣9 | pair
♦K, ♣K, ♣5, ♥2, ♥Q | pair
♦K, ♣K, ♣5, ♥2, ♣9 | pair
♦K, ♣K, ♣5, ♥Q, ♣9 | pair
♦K, ♣K, ♣8, ♥2, ♥Q | pair
♦K, ♣K, ♣8, ♥2, ♣9 | pair
♦K, ♣K, ♣8, ♥Q, ♣9 | pair
♦K, ♣K, ♥2, ♥Q, ♣9 | pair
♠Q, ♣2, ♣K, ♥10, ♥2 | pair
♠Q, ♣2, ♣K, ♥10, ♥Q | pair
♠Q, ♣2, ♣K, ♣5, ♥2 | pair
♠Q, ♣2, ♣K, ♣5, ♥Q | pair
♠Q, ♣2, ♣K, ♣8, ♥2 | pair
♠Q, ♣2, ♣K, ♣8, ♥Q | pair
♠Q, ♣2, ♣K, ♥2, ♥Q | two pairs
♠Q, ♣2, ♣K, ♥2, ♣9 | pair
♠Q, ♣2, ♣K, ♥Q, ♣9 | pair
♠Q, ♣2, ♥10, ♣5, ♥2 | pair
♠Q, ♣2, ♥10, ♣5, ♥Q | pair
♠Q, ♣2, ♥10, ♣8, ♥2 | pair
♠Q, ♣2, ♥10, ♣8, ♥Q | pair
♠Q, ♣2, ♥10, ♥2, ♥Q | two pairs
♠Q, ♣2, ♥10, ♥2, ♣9 | pair
♠Q, ♣2, ♥10, ♥Q, ♣9 | pair
♠Q, ♣2, ♣5, ♣8, ♥2 | pair
♠Q, ♣2, ♣5, ♣8, ♥Q | pair
♠Q, ♣2, ♣5, ♥2, ♥Q | two pairs
♠Q, ♣2, ♣5, ♥2, ♣9 | pair
♠Q, ♣2, ♣5, ♥Q, ♣9 | pair
♠Q, ♣2, ♣8, ♥2, ♥Q | two pairs
♠Q, ♣2, ♣8, ♥2, ♣9 | pair
♠Q, ♣2, ♣8, ♥Q, ♣9 | pair
♠Q, ♣2, ♥2, ♥Q, ♣9 | two pairs
♠Q, ♣K, ♥10, ♣5, ♥Q | pair
♠Q, ♣K, ♥10, ♣8, ♥Q | pair
♠Q, ♣K, ♥10, ♥2, ♥Q | pair
♠Q, ♣K, ♥10, ♥Q, ♣9 | pair
♠Q, ♣K, ♣5, ♣8, ♥Q | pair
♠Q, ♣K, ♣5, ♥2, ♥Q | pair
♠Q, ♣K, ♣5, ♥Q, ♣9 | pair
♠Q, ♣K, ♣8, ♥2, ♥Q | pair
♠Q, ♣K, ♣8, ♥Q, ♣9 | pair
♠Q, ♣K, ♥2, ♥Q, ♣9 | pair
♠Q, ♥10, ♣5, ♣8, ♥Q | pair
♠Q, ♥10, ♣5, ♥2, ♥Q | pair
♠Q, ♥10, ♣5, ♥Q, ♣9 | pair
♠Q, ♥10, ♣8, ♥2, ♥Q | pair
♠Q, ♥10, ♣8, ♥Q, ♣9 | pair
♠Q, ♥10, ♥2, ♥Q, ♣9 | pair
♠Q, ♣5, ♣8, ♥2, ♥Q | pair
♠Q, ♣5, ♣8, ♥Q, ♣9 | pair
♠Q, ♣5, ♥2, ♥Q, ♣9 | pair
♠Q, ♣8, ♥2, ♥Q, ♣9 | pair
♣2, ♣K, ♥10, ♣5, ♥2 | pair
♣2, ♣K, ♥10, ♣8, ♥2 | pair
♣2, ♣K, ♥10, ♥2, ♥Q | pair
♣2, ♣K, ♥10, ♥2, ♣9 | pair
♣2, ♣K, ♣5, ♣8, ♥2 | pair
♣2, ♣K, ♣5, ♣8, ♣9 | flush
♣2, ♣K, ♣5, ♥2, ♥Q | pair
♣2, ♣K, ♣5, ♥2, ♣9 | pair
♣2, ♣K, ♣8, ♥2, ♥Q | pair
♣2, ♣K, ♣8, ♥2, ♣9 | pair
♣2, ♣K, ♥2, ♥Q, ♣9 | pair
♣2, ♥10, ♣5, ♣8, ♥2 | pair
♣2, ♥10, ♣5, ♥2, ♥Q | pair
♣2, ♥10, ♣5, ♥2, ♣9 | pair
♣2, ♥10, ♣8, ♥2, ♥Q | pair
♣2, ♥10, ♣8, ♥2, ♣9 | pair
♣2, ♥10, ♥2, ♥Q, ♣9 | pair
♣2, ♣5, ♣8, ♥2, ♥Q | pair
♣2, ♣5, ♣8, ♥2, ♣9 | pair
♣2, ♣5, ♥2, ♥Q, ♣9 | pair
♣2, ♣8, ♥2, ♥Q, ♣9 | pair
