♣9, ♥6, ♥3, ♠J, ♦3 | pair
♥6, ♥3, ♣10, ♠3, ♥A | pair
♥6, ♥3, ♦3, ♠3, ♥A | three of a kind
♥6, ♠J, ♦5, ♦3, ♠3 | pair
♥6, ♠J, ♦7, ♦3, ♠3 | pair
♥6, ♠J, ♣10, ♦3, ♠3 | pair
♥6, ♠J, ♦3, ♠3, ♥A | pair
♥6, ♦5, ♦7, ♦3, ♠3 | pair
♥6, ♦5, ♣10, ♦3, ♠3 | pair
♥6, ♦5, ♦3, ♠3, ♥A | pair
♥6, ♦7, ♣10, ♦3, ♠3 | pair
♥6, ♦7, ♦3, ♠3, ♥A | pair
♥6, ♣10, ♦3, ♠3, ♥A | pair
♥3, ♠J, ♦5, ♦7, ♦3 | pair
♥3, ♠J, ♦5, ♦7, ♠3 | pair
♥3, ♠J, ♦5, ♣10, ♦3 | pair
♥3, ♠J, ♦5, ♣10, ♠3 | pair
♥3, ♠J, ♦5, ♦3, ♠3 | three of a kind
♥3, ♠J, ♦5, ♦3, ♥A | pair
♥3, ♠J, ♦5, ♠3, ♥A | pair
♥3, ♠J, ♦7, ♣10, ♦3 | pair
♥3, ♠J, ♦7, ♣10, ♠3 | pair
♥3, ♠J, ♦7, ♦3, ♠3 | three of a kind
♥3, ♠J, ♦7, ♦3, ♥A | pair
♥3, ♠J, ♦7, ♠3, ♥A | pair
♥3, ♠J, ♣10, ♦3, ♠3 | three of a kind
♥3, ♠J, ♣10, ♦3, ♥A | pair
♥3, ♠J, ♣10, ♠3, ♥A | pair
♥3, ♠J, ♦3, ♠3, ♥A | three of a kind
♥3, ♦5, ♦7, ♣10, ♦3 | pair
♥3, ♦5, ♦7, ♣10, ♠3 | pair
♥3, ♦5, ♦7, ♦3, ♠3 | three of a kind
♥3, ♦5, ♦7, ♦3, ♥A | pair
♥3, ♦5, ♦7, ♠3, ♥A | pair
♥3, ♦5, ♣10, ♦3, ♠3 | three of a kind
♥3, ♦5, ♣10, ♦3, ♥A | pair
♥3, ♦5, ♣10, ♠3, ♥A | pair
♥3, ♦5, ♦3, ♠3, ♥A | three of a kind
♥3, ♦7, ♣10, ♦3, ♠3 | three of a kind
♥3, ♦7, ♣10, ♦3, ♥A | pair
♥3, ♦7, ♣10, ♠3, ♥A | pair
♥3, ♦7, ♦3, ♠3, ♥A | three of a kind
♥3, ♣10, ♦3, ♠3, ♥A | three of a kind
♠J, ♦5, ♦7, ♦3, ♠3 | pair
♠J, ♦5, ♣10, ♦3, ♠3 | pair
♠J, ♦5, ♦3, ♠3, ♥A | pair
♠J, ♦7, ♣10, ♦3, ♠3 | pair
♠J, ♦7, ♦3, ♠3, ♥A | pair
♠J, ♣10, ♦3, ♠3, ♥A | pair
♦5, ♦7, ♣10, ♦3, ♠3 | pair
♦5, ♦7, ♦3, ♠3, ♥A | pair
♦5, ♣10, ♦3, ♠3, ♥A | pair
♦7, ♣10, ♦3, ♠3, ♥A | pair
