♠4,♠2,♥A,♠6,♦6 | Pair
♠4,♥A,♠6,♦9,♦6 | Pair
♠4,♥A,♠6,♦9,♠9 | Pair
♠4,♥A,♠6,♦9,♠9 | Pair
♠4,♥A,♠6,♦9,♣6 | Pair
♠4,♥A,♠6,♦9,♣6 | Pair
♠4,♥A,♠6,♥7,♦6 | Pair
♠4,♥A,♠6,♥7,♦6 | Pair
♠4,♥A,♠6,♥7,♥7 | Pair
♠4,♥A,♠6,♥7,♥7 | Pair
♠4,♥A,♠6,♥7,♣6 | Pair
♠4,♥A,♠6,♥7,♣6 | Pair
♠4,♥A,♠6,♣3,♦6 | Pair
♠4,♥A,♠6,♣3,♦6 | Pair
♠4,♥A,♠6,♣3,♣6 | Pair
♠4,♥A,♠6,♣3,♣6 | Pair
♠4,♥A,♠6,♦6,♠9 | Pair
♠4,♥A,♠6,♦6,♠9 | Pair
♠4,♥A,♠6,♦6,♥7 | Pair
♠4,♥A,♠6,♦6,♥7 | Pair
♠4,♥A,♠6,♦6,♣5 | Pair
♠4,♥A,♠6,♦6,♣5 | Pair
♠4,♥A,♠6,♦6,♣6 | Pair
♠4,♥A,♠6,♦6,♣6 | Three Of A Kind
♠4,♥A,♠6,♦6,♣6 | Pair
♠4,♥A,♠6,♦6,♣6 | Three Of A Kind
♠4,♥A,♠6,♠9,♣6 | Pair
♠4,♥A,♠6,♠9,♣6 | Pair
♠4,♥A,♠6,♥7,♣6 | Pair
♠4,♥A,♠6,♥7,♣6 | Pair
♠4,♥A,♠6,♣5,♣6 | Pair
♠4,♥A,♠6,♣5,♣6 | Pair
♠4,♥A,♥10,♦9,♠9 | Pair
♠4,♥A,♥10,♦9,♠9 | Pair
♠4,♥A,♥10,♥7,♥7 | Pair
♠4,♥A,♥10,♥7,♥7 | Pair
♠4,♥A,♥10,♦6,♣6 | Pair
♠4,♥A,♥10,♦6,♣6 | Pair
♠4,♥A,♦9,♥7,♠9 | Pair
♠4,♥A,♦9,♥7,♠9 | Pair
♠4,♥A,♦9,♥7,♥7 | Pair
♠4,♥A,♦9,♥7,♥7 | Pair
♠4,♥A,♦9,♣3,♠9 | Pair
♠4,♥A,♦9,♣3,♠9 | Pair
♠4,♥A,♦9,♦6,♠9 | Pair
♠4,♥A,♦9,♦6,♠9 | Pair
♠4,♥A,♦9,♦6,♣6 | Pair
♠4,♥A,♦9,♦6,♣6 | Pair
♠4,♥A,♦9,♠9,♥7 | Pair
♠4,♥A,♦9,♠9,♥7 | Pair
♠4,♥A,♦9,♠9,♣5 | Pair
♠4,♥A,♦9,♠9,♣5 | Pair
♠4,♥A,♦9,♠9,♣6 | Pair
♠4,♥A,♦9,♠9,♣6 | Pair
♠4,♥A,♥7,♣3,♥7 | Pair
♠4,♥A,♥7,♣3,♥7 | Pair
♠4,♥A,♥7,♦6,♥7 | Pair
♠4,♥A,♥7,♦6,♥7 | Pair
♠4,♥A,♥7,♦6,♣6 | Pair
♠4,♥A,♥7,♦6,♣6 | Pair
♠4,♥A,♥7,♠9,♥7 | Pair
♠4,♥A,♥7,♠9,♥7 | Pair
♠4,♥A,♥7,♥7,♣5 | Pair
♠4,♥A,♥7,♥7,♣5 | Pair
♠4,♥A,♥7,♥7,♣6 | Pair
♠4,♥A,♥7,♥7,♣6 | Pair
♠4,♥A,♣3,♦6,♣6 | Pair
♠4,♥A,♣3,♦6,♣6 | Pair
♠4,♥A,♦6,♠9,♣6 | Pair
♠4,♥A,♦6,♠9,♣6 | Pair
♠4,♥A,♦6,♥7,♣6 | Pair
♠4,♥A,♦6,♥7,♣6 | Pair
♠4,♥A,♦6,♣5,♣6 | Pair
♠4,♥A,♦6,♣5,♣6 | Pair
♠4,♠6,♥10,♦9,♦6 | Pair
♠4,♠6,♥10,♦9,♦6 | Pair
♠4,♠6,♥10,♦9,♠9 | Pair
♠4,♠6,♥10,♦9,♠9 | Pair
♠4,♠6,♥10,♦9,♣6 | Pair
♠4,♠6,♥10,♦9,♣6 | Pair
♠4,♠6,♥10,♥7,♦6 | Pair
♠4,♠6,♥10,♥7,♦6 | Pair
♠4,♠6,♥10,♥7,♥7 | Pair
♠4,♠6,♥10,♥7,♥7 | Pair
♠4,♠6,♥10,♥7,♣6 | Pair
♠4,♠6,♥10,♥7,♣6 | Pair
♠4,♠6,♥10,♣3,♦6 | Pair
♠4,♠6,♥10,♣3,♦6 | Pair
♠4,♠6,♥10,♣3,♣6 | Pair
♠4,♠6,♥10,♣3,♣6 | Pair
♠4,♠6,♥10,♦6,♠9 | Pair
♠4,♠6,♥10,♦6,♠9 | Pair
♠4,♠6,♥10,♦6,♥7 | Pair
♠4,♠6,♥10,♦6,♥7 | Pair
♠4,♠6,♥10,♦6,♣5 | Pair
♠4,♠6,♥10,♦6,♣5 | Pair
♠4,♠6,♥10,♦6,♣6 | Pair
♠4,♠6,♥10,♦6,♣6 | Three Of A Kind
♠4,♠6,♥10,♦6,♣6 | Pair
♠4,♠6,♥10,♦6,♣6 | Three Of A Kind
♠4,♠6,♥10,♠9,♣6 | Pair
♠4,♠6,♥10,♠9,♣6 | Pair
♠4,♠6,♥10,♥7,♣6 | Pair
♠4,♠6,♥10,♥7,♣6 | Pair
♠4,♠6,♥10,♣5,♣6 | Pair
♠4,♠6,♥10,♣5,♣6 | Pair
♠4,♠6,♦9,♥7,♦6 | Pair
♠4,♠6,♦9,♥7,♦6 | Pair
♠4,♠6,♦9,♥7,♠9 | Pair
♠4,♠6,♦9,♥7,♠9 | Pair
♠4,♠6,♦9,♥7,♥7 | Pair
♠4,♠6,♦9,♥7,♥7 | Pair
♠4,♠6,♦9,♥7,♣6 | Pair
♠4,♠6,♦9,♥7,♣6 | Pair
♠4,♠6,♦9,♣3,♦6 | Pair
♠4,♠6,♦9,♣3,♦6 | Pair
♠4,♠6,♦9,♣3,♠9 | Pair
♠4,♠6,♦9,♣3,♠9 | Pair
♠4,♠6,♦9,♣3,♣6 | Pair
♠4,♠6,♦9,♣3,♣6 | Pair
♠4,♠6,♦9,♦6,♠9 | Pair
♠4,♠6,♦9,♦6,♠9 | Pair
♠4,♠6,♦9,♦6,♠9 | Pair
♠4,♠6,♦9,♦6,♠9 | Pair
♠4,♠6,♦9,♦6,♥7 | Pair
♠4,♠6,♦9,♦6,♥7 | Pair
♠4,♠6,♦9,♦6,♣5 | Pair
♠4,♠6,♦9,♦6,♣5 | Pair
♠4,♠6,♦9,♦6,♣6 | Pair
♠4,♠6,♦9,♦6,♣6 | Three Of A Kind
♠4,♠6,♦9,♦6,♣6 | Pair
♠4,♠6,♦9,♦6,♣6 | Three Of A Kind
♠4,♠6,♦9,♠9,♥7 | Pair
♠4,♠6,♦9,♠9,♥7 | Pair
♠4,♠6,♦9,♠9,♣5 | Pair
♠4,♠6,♦9,♠9,♣5 | Pair
♠4,♠6,♦9,♠9,♣6 | Pair
♠4,♠6,♦9,♠9,♣6 | Pair
♠4,♠6,♦9,♠9,♣6 | Pair
♠4,♠6,♦9,♠9,♣6 | Pair
♠4,♠6,♦9,♥7,♣6 | Pair
♠4,♠6,♦9,♥7,♣6 | Pair
♠4,♠6,♦9,♣5,♣6 | Pair
♠4,♠6,♦9,♣5,♣6 | Pair
♠4,♠6,♥7,♣3,♦6 | Pair
♠4,♠6,♥7,♣3,♦6 | Pair
♠4,♠6,♥7,♣3,♥7 | Pair
♠4,♠6,♥7,♣3,♥7 | Pair
♠4,♠6,♥7,♣3,♣6 | Pair
♠4,♠6,♥7,♣3,♣6 | Pair
♠4,♠6,♥7,♦6,♠9 | Pair
♠4,♠6,♥7,♦6,♠9 | Pair
♠4,♠6,♥7,♦6,♥7 | Pair
♠4,♠6,♥7,♦6,♥7 | Pair
♠4,♠6,♥7,♦6,♥7 | Pair
♠4,♠6,♥7,♦6,♥7 | Pair
♠4,♠6,♥7,♦6,♣5 | Pair
♠4,♠6,♥7,♦6,♣5 | Pair
♠4,♠6,♥7,♦6,♣6 | Pair
♠4,♠6,♥7,♦6,♣6 | Three Of A Kind
♠4,♠6,♥7,♦6,♣6 | Pair
♠4,♠6,♥7,♦6,♣6 | Three Of A Kind
♠4,♠6,♥7,♠9,♥7 | Pair
♠4,♠6,♥7,♠9,♥7 | Pair
♠4,♠6,♥7,♠9,♣6 | Pair
♠4,♠6,♥7,♠9,♣6 | Pair
♠4,♠6,♥7,♥7,♣5 | Pair
♠4,♠6,♥7,♥7,♣5 | Pair
♠4,♠6,♥7,♥7,♣6 | Pair
♠4,♠6,♥7,♥7,♣6 | Pair
♠4,♠6,♥7,♥7,♣6 | Pair
♠4,♠6,♥7,♥7,♣6 | Pair
♠4,♠6,♥7,♣5,♣6 | Pair
♠4,♠6,♥7,♣5,♣6 | Pair
♠4,♠6,♣3,♦6,♠9 | Pair
♠4,♠6,♣3,♦6,♠9 | Pair
♠4,♠6,♣3,♦6,♥7 | Pair
♠4,♠6,♣3,♦6,♥7 | Pair
♠4,♠6,♣3,♦6,♣5 | Pair
♠4,♠6,♣3,♦6,♣5 | Pair
♠4,♠6,♣3,♦6,♣6 | Pair
♠4,♠6,♣3,♦6,♣6 | Three Of A Kind
♠4,♠6,♣3,♦6,♣6 | Pair
♠4,♠6,♣3,♦6,♣6 | Three Of A Kind
♠4,♠6,♣3,♠9,♣6 | Pair
♠4,♠6,♣3,♠9,♣6 | Pair
♠4,♠6,♣3,♥7,♣6 | Pair
♠4,♠6,♣3,♥7,♣6 | Pair
♠4,♠6,♣3,♣5,♣6 | Pair
♠4,♠6,♣3,♣5,♣6 | Pair
♠4,♠6,♦6,♠9,♥7 | Pair
♠4,♠6,♦6,♠9,♥7 | Pair
♠4,♠6,♦6,♠9,♣5 | Pair
♠4,♠6,♦6,♠9,♣5 | Pair
♠4,♠6,♦6,♠9,♣6 | Pair
♠4,♠6,♦6,♠9,♣6 | Three Of A Kind
♠4,♠6,♦6,♠9,♣6 | Pair
♠4,♠6,♦6,♠9,♣6 | Three Of A Kind
♠4,♠6,♦6,♥7,♣5 | Pair
♠4,♠6,♦6,♥7,♣5 | Pair
♠4,♠6,♦6,♥7,♣6 | Pair
♠4,♠6,♦6,♥7,♣6 | Three Of A Kind
♠4,♠6,♦6,♥7,♣6 | Pair
♠4,♠6,♦6,♥7,♣6 | Three Of A Kind
♠4,♠6,♦6,♣5,♣6 | Pair
♠4,♠6,♦6,♣5,♣6 | Three Of A Kind
♠4,♠6,♦6,♣5,♣6 | Pair
♠4,♠6,♦6,♣5,♣6 | Three Of A Kind
♠4,♠6,♠9,♥7,♣6 | Pair
♠4,♠6,♠9,♥7,♣6 | Pair
♠4,♠6,♠9,♣5,♣6 | Pair
♠4,♠6,♠9,♣5,♣6 | Pair
♠4,♠6,♥7,♣5,♣6 | Pair
♠4,♠6,♥7,♣5,♣6 | Pair
♠4,♥10,♦9,♥7,♠9 | Pair
♠4,♥10,♦9,♥7,♠9 | Pair
♠4,♥10,♦9,♥7,♥7 | Pair
♠4,♥10,♦9,♥7,♥7 | Pair
♠4,♥10,♦9,♣3,♠9 | Pair
♠4,♥10,♦9,♣3,♠9 | Pair
♠4,♥10,♦9,♦6,♠9 | Pair
♠4,♥10,♦9,♦6,♠9 | Pair
♠4,♥10,♦9,♦6,♣6 | Pair
♠4,♥10,♦9,♦6,♣6 | Pair
♠4,♥10,♦9,♠9,♥7 | Pair
♠4,♥10,♦9,♠9,♥7 | Pair
♠4,♥10,♦9,♠9,♣5 | Pair
♠4,♥10,♦9,♠9,♣5 | Pair
♠4,♥10,♦9,♠9,♣6 | Pair
♠4,♥10,♦9,♠9,♣6 | Pair
♠4,♥10,♥7,♣3,♥7 | Pair
♠4,♥10,♥7,♣3,♥7 | Pair
♠4,♥10,♥7,♦6,♥7 | Pair
♠4,♥10,♥7,♦6,♥7 | Pair
♠4,♥10,♥7,♦6,♣6 | Pair
♠4,♥10,♥7,♦6,♣6 | Pair
♠4,♥10,♥7,♠9,♥7 | Pair
♠4,♥10,♥7,♠9,♥7 | Pair
♠4,♥10,♥7,♥7,♣5 | Pair
♠4,♥10,♥7,♥7,♣5 | Pair
♠4,♥10,♥7,♥7,♣6 | Pair
♠4,♥10,♥7,♥7,♣6 | Pair
♠4,♥10,♣3,♦6,♣6 | Pair
♠4,♥10,♣3,♦6,♣6 | Pair
♠4,♥10,♦6,♠9,♣6 | Pair
♠4,♥10,♦6,♠9,♣6 | Pair
♠4,♥10,♦6,♥7,♣6 | Pair
♠4,♥10,♦6,♥7,♣6 | Pair
♠4,♥10,♦6,♣5,♣6 | Pair
♠4,♥10,♦6,♣5,♣6 | Pair
♠4,♦9,♥7,♣3,♠9 | Pair
♠4,♦9,♥7,♣3,♠9 | Pair
♠4,♦9,♥7,♣3,♥7 | Pair
♠4,♦9,♥7,♣3,♥7 | Pair
♠4,♦9,♥7,♦6,♠9 | Pair
♠4,♦9,♥7,♦6,♠9 | Pair
♠4,♦9,♥7,♦6,♥7 | Pair
♠4,♦9,♥7,♦6,♥7 | Pair
♠4,♦9,♥7,♦6,♣6 | Pair
♠4,♦9,♥7,♦6,♣6 | Pair
♠4,♦9,♥7,♠9,♥7 | Pair
♠4,♦9,♥7,♠9,♥7 | Pair
♠4,♦9,♥7,♠9,♥7 | Pair
♠4,♦9,♥7,♠9,♥7 | Pair
♠4,♦9,♥7,♠9,♣5 | Pair
♠4,♦9,♥7,♠9,♣5 | Pair
♠4,♦9,♥7,♠9,♣6 | Pair
♠4,♦9,♥7,♠9,♣6 | Pair
♠4,♦9,♥7,♥7,♣5 | Pair
♠4,♦9,♥7,♥7,♣5 | Pair
♠4,♦9,♥7,♥7,♣6 | Pair
♠4,♦9,♥7,♥7,♣6 | Pair
♠4,♦9,♣3,♦6,♠9 | Pair
♠4,♦9,♣3,♦6,♠9 | Pair
♠4,♦9,♣3,♦6,♣6 | Pair
♠4,♦9,♣3,♦6,♣6 | Pair
♠4,♦9,♣3,♠9,♥7 | Pair
♠4,♦9,♣3,♠9,♥7 | Pair
♠4,♦9,♣3,♠9,♣5 | Pair
♠4,♦9,♣3,♠9,♣5 | Pair
♠4,♦9,♣3,♠9,♣6 | Pair
♠4,♦9,♣3,♠9,♣6 | Pair
♠4,♦9,♦6,♠9,♥7 | Pair
♠4,♦9,♦6,♠9,♥7 | Pair
♠4,♦9,♦6,♠9,♣5 | Pair
♠4,♦9,♦6,♠9,♣5 | Pair
♠4,♦9,♦6,♠9,♣6 | Pair
♠4,♦9,♦6,♠9,♣6 | Pair
♠4,♦9,♦6,♠9,♣6 | Pair
♠4,♦9,♦6,♠9,♣6 | Pair
♠4,♦9,♦6,♥7,♣6 | Pair
♠4,♦9,♦6,♥7,♣6 | Pair
♠4,♦9,♦6,♣5,♣6 | Pair
♠4,♦9,♦6,♣5,♣6 | Pair
♠4,♦9,♠9,♥7,♣5 | Pair
♠4,♦9,♠9,♥7,♣5 | Pair
♠4,♦9,♠9,♥7,♣6 | Pair
♠4,♦9,♠9,♥7,♣6 | Pair
♠4,♦9,♠9,♣5,♣6 | Pair
♠4,♦9,♠9,♣5,♣6 | Pair
♠4,♥7,♣3,♦6,♥7 | Pair
♠4,♥7,♣3,♦6,♥7 | Pair
♠4,♥7,♣3,♦6,♣6 | Pair
♠4,♥7,♣3,♦6,♣6 | Pair
♠4,♥7,♣3,♠9,♥7 | Pair
♠4,♥7,♣3,♠9,♥7 | Pair
♠4,♥7,♣3,♥7,♣5 | Pair
♠4,♥7,♣3,♥7,♣5 | Pair
♠4,♥7,♣3,♥7,♣6 | Pair
♠4,♥7,♣3,♥7,♣6 | Pair
♠4,♥7,♦6,♠9,♥7 | Pair
♠4,♥7,♦6,♠9,♥7 | Pair
♠4,♥7,♦6,♠9,♣6 | Pair
♠4,♥7,♦6,♠9,♣6 | Pair
♠4,♥7,♦6,♥7,♣5 | Pair
♠4,♥7,♦6,♥7,♣5 | Pair
♠4,♥7,♦6,♥7,♣6 | Pair
♠4,♥7,♦6,♥7,♣6 | Pair
♠4,♥7,♦6,♥7,♣6 | Pair
♠4,♥7,♦6,♥7,♣6 | Pair
♠4,♥7,♦6,♣5,♣6 | Pair
♠4,♥7,♦6,♣5,♣6 | Pair
♠4,♥7,♠9,♥7,♣5 | Pair
♠4,♥7,♠9,♥7,♣5 | Pair
♠4,♥7,♠9,♥7,♣6 | Pair
♠4,♥7,♠9,♥7,♣6 | Pair
♠4,♥7,♥7,♣5,♣6 | Pair
♠4,♥7,♥7,♣5,♣6 | Pair
♠4,♣3,♦6,♠9,♣6 | Pair
♠4,♣3,♦6,♠9,♣6 | Pair
♠4,♣3,♦6,♥7,♣6 | Pair
♠4,♣3,♦6,♥7,♣6 | Pair
♠4,♣3,♦6,♣5,♣6 | Pair
♠4,♣3,♦6,♣5,♣6 | Pair
♠4,♦6,♠9,♥7,♣6 | Pair
♠4,♦6,♠9,♥7,♣6 | Pair
♠4,♦6,♠9,♣5,♣6 | Pair
♠4,♦6,♠9,♣5,♣6 | Pair
♠4,♦6,♥7,♣5,♣6 | Pair
♠4,♦6,♥7,♣5,♣6 | Pair
♠2,♥A,♠6,♥10,♦6 | Pair
♠2,♥A,♠6,♥10,♦6 | Pair
♠2,♥A,♠6,♥10,♣6 | Pair
♠2,♥A,♠6,♥10,♣6 | Pair
♠2,♥A,♠6,♦9,♦6 | Pair
♠2,♥A,♠6,♦9,♦6 | Pair
♠2,♥A,♠6,♦9,♠9 | Pair
♠2,♥A,♠6,♦9,♠9 | Pair
♠2,♥A,♠6,♦9,♣6 | Pair
♠2,♥A,♠6,♦9,♣6 | Pair
♠2,♥A,♠6,♥7,♦6 | Pair
♠2,♥A,♠6,♥7,♦6 | Pair
♠2,♥A,♠6,♥7,♥7 | Pair
♠2,♥A,♠6,♥7,♥7 | Pair
♠2,♥A,♠6,♥7,♣6 | Pair
♠2,♥A,♠6,♥7,♣6 | Pair
♠2,♥A,♠6,♣3,♦6 | Pair
♠2,♥A,♠6,♣3,♦6 | Pair
♠2,♥A,♠6,♣3,♣6 | Pair
♠2,♥A,♠6,♣3,♣6 | Pair
♠2,♥A,♠6,♦6,♠9 | Pair
♠2,♥A,♠6,♦6,♠9 | Pair
♠2,♥A,♠6,♦6,♥7 | Pair
♠2,♥A,♠6,♦6,♥7 | Pair
♠2,♥A,♠6,♦6,♣5 | Pair
♠2,♥A,♠6,♦6,♣5 | Pair
♠2,♥A,♠6,♦6,♣6 | Pair
♠2,♥A,♠6,♦6,♣6 | Three Of A Kind
♠2,♥A,♠6,♦6,♣6 | Pair
♠2,♥A,♠6,♦6,♣6 | Three Of A Kind
♠2,♥A,♠6,♠9,♣6 | Pair
♠2,♥A,♠6,♠9,♣6 | Pair
♠2,♥A,♠6,♥7,♣6 | Pair
♠2,♥A,♠6,♥7,♣6 | Pair
♠2,♥A,♠6,♣5,♣6 | Pair
♠2,♥A,♠6,♣5,♣6 | Pair
♠2,♥A,♥10,♦9,♠9 | Pair
♠2,♥A,♥10,♦9,♠9 | Pair
♠2,♥A,♥10,♥7,♥7 | Pair
♠2,♥A,♥10,♥7,♥7 | Pair
♠2,♥A,♥10,♦6,♣6 | Pair
♠2,♥A,♥10,♦6,♣6 | Pair
♠2,♥A,♦9,♥7,♠9 | Pair
♠2,♥A,♦9,♥7,♠9 | Pair
♠2,♥A,♦9,♥7,♥7 | Pair
♠2,♥A,♦9,♥7,♥7 | Pair
♠2,♥A,♦9,♣3,♠9 | Pair
♠2,♥A,♦9,♣3,♠9 | Pair
♠2,♥A,♦9,♦6,♠9 | Pair
♠2,♥A,♦9,♦6,♠9 | Pair
♠2,♥A,♦9,♦6,♣6 | Pair
♠2,♥A,♦9,♦6,♣6 | Pair
♠2,♥A,♦9,♠9,♥7 | Pair
♠2,♥A,♦9,♠9,♥7 | Pair
♠2,♥A,♦9,♠9,♣5 | Pair
♠2,♥A,♦9,♠9,♣5 | Pair
♠2,♥A,♦9,♠9,♣6 | Pair
♠2,♥A,♦9,♠9,♣6 | Pair
♠2,♥A,♥7,♣3,♥7 | Pair
♠2,♥A,♥7,♣3,♥7 | Pair
♠2,♥A,♥7,♦6,♥7 | Pair
♠2,♥A,♥7,♦6,♥7 | Pair
♠2,♥A,♥7,♦6,♣6 | Pair
♠2,♥A,♥7,♦6,♣6 | Pair
♠2,♥A,♥7,♠9,♥7 | Pair
♠2,♥A,♥7,♠9,♥7 | Pair
♠2,♥A,♥7,♥7,♣5 | Pair
♠2,♥A,♥7,♥7,♣5 | Pair
♠2,♥A,♥7,♥7,♣6 | Pair
♠2,♥A,♥7,♥7,♣6 | Pair
♠2,♥A,♣3,♦6,♣6 | Pair
♠2,♥A,♣3,♦6,♣6 | Pair
♠2,♥A,♦6,♠9,♣6 | Pair
♠2,♥A,♦6,♠9,♣6 | Pair
♠2,♥A,♦6,♥7,♣6 | Pair
♠2,♥A,♦6,♥7,♣6 | Pair
♠2,♥A,♦6,♣5,♣6 | Pair
♠2,♥A,♦6,♣5,♣6 | Pair
♠2,♠6,♥10,♦9,♦6 | Pair
♠2,♠6,♥10,♦9,♦6 | Pair
♠2,♠6,♥10,♦9,♠9 | Pair
♠2,♠6,♥10,♦9,♠9 | Pair
♠2,♠6,♥10,♦9,♣6 | Pair
♠2,♠6,♥10,♦9,♣6 | Pair
♠2,♠6,♥10,♥7,♦6 | Pair
♠2,♠6,♥10,♥7,♦6 | Pair
♠2,♠6,♥10,♥7,♥7 | Pair
♠2,♠6,♥10,♥7,♥7 | Pair
♠2,♠6,♥10,♥7,♣6 | Pair
♠2,♠6,♥10,♥7,♣6 | Pair
♠2,♠6,♥10,♣3,♦6 | Pair
♠2,♠6,♥10,♣3,♦6 | Pair
♠2,♠6,♥10,♣3,♣6 | Pair
♠2,♠6,♥10,♣3,♣6 | Pair
♠2,♠6,♥10,♦6,♠9 | Pair
♠2,♠6,♥10,♦6,♠9 | Pair
♠2,♠6,♥10,♦6,♥7 | Pair
♠2,♠6,♥10,♦6,♥7 | Pair
♠2,♠6,♥10,♦6,♣5 | Pair
♠2,♠6,♥10,♦6,♣5 | Pair
♠2,♠6,♥10,♦6,♣6 | Pair
♠2,♠6,♥10,♦6,♣6 | Three Of A Kind
♠2,♠6,♥10,♦6,♣6 | Pair
♠2,♠6,♥10,♦6,♣6 | Three Of A Kind
♠2,♠6,♥10,♠9,♣6 | Pair
♠2,♠6,♥10,♠9,♣6 | Pair
♠2,♠6,♥10,♥7,♣6 | Pair
♠2,♠6,♥10,♥7,♣6 | Pair
♠2,♠6,♥10,♣5,♣6 | Pair
♠2,♠6,♥10,♣5,♣6 | Pair
♠2,♠6,♦9,♥7,♦6 | Pair
♠2,♠6,♦9,♥7,♦6 | Pair
♠2,♠6,♦9,♥7,♠9 | Pair
♠2,♠6,♦9,♥7,♠9 | Pair
♠2,♠6,♦9,♥7,♥7 | Pair
♠2,♠6,♦9,♥7,♥7 | Pair
♠2,♠6,♦9,♥7,♣6 | Pair
♠2,♠6,♦9,♥7,♣6 | Pair
♠2,♠6,♦9,♣3,♦6 | Pair
♠2,♠6,♦9,♣3,♦6 | Pair
♠2,♠6,♦9,♣3,♠9 | Pair
♠2,♠6,♦9,♣3,♠9 | Pair
